Team,Composite,Grade %,Win Rate %
1PIT,97%Elite,97%Elite,97%Elite
2BUF,94%Elite,90%Elite,97%Elite
3CHI,92%Elite,84%Elite,100%Elite
4DEN,89%Elite,100%Elite,77%Good
5KC,84%Elite,71%Good,97%Elite
6JAX,76%Good,74%Good,77%Good
7NE,74%Good,87%Elite,61%Average
8PHI,71%Good,81%Elite,61%Average
9NYG,68%Good,68%Good,68%Good
10TB,63%Average,65%Average,61%Average
11LAR,61%Average,35%Below Avg,87%Elite
12TEN,61%Average,61%Average,61%Average
13WAS,61%Average,77%Good,45%Below Avg
14SF,58%Average,45%Below Avg,71%Good
15ATL,56%Average,52%Average,61%Average
16BAL,56%Average,26%Poor,87%Elite
17IND,56%Average,94%Elite,19%Poor
18GB,55%Average,23%Poor,87%Elite
19SEA,53%Average,39%Below Avg,68%Good
20MIN,44%Below Avg,58%Average,29%Poor
21CAR,39%Below Avg,48%Below Avg,29%Poor
22NYJ,37%Below Avg,55%Average,19%Poor
23ARI,31%Below Avg,16%Poor,45%Below Avg
24DAL,26%Poor,6%Poor,45%Below Avg
25NO,26%Poor,42%Below Avg,10%Poor
26CLE,24%Poor,3%Poor,45%Below Avg
27LV,23%Poor,13%Poor,32%Below Avg
28HOU,21%Poor,32%Below Avg,10%Poor
29CIN,19%Poor,19%Poor,19%Poor
30DET,19%Poor,29%Poor,10%Poor
31MIA,19%Poor,10%Poor,29%Poor
32LAC,2%Poor,3%Poor,0%Poor
