Team,ScoreComposite,Sec/PlaySec / Play,Plays/GPlays / Game
1DAL,87,28.0,65.9
2NO,85,27.1,63.2
3CHI,83,28.5,66.4
4LAR,74,28.6,64.7
5ARI*,71,28.3,63.2
6DEN,68,28.9,64.1
7HOU,64,29.4,64.5
8NYG*,64,29.1,63.8
9SF,63,28.9,63.2
10KC,59,29.0,62.4
11CIN,56,29.1,62.2
12DET,55,29.3,62.5
13JAX,55,29.8,63.7
14ATL*,52,29.2,61.6
15CLE*,50,29.0,60.6
16LAC*,50,30.4,64.1
17NYJ,50,28.5,59.4
18TB*,43,30.5,62.8
19NE,42,30.2,62.0
20BUF*,40,31.3,64.3
21GB,39,29.7,60.0
22IND,38,29.7,59.9
23TEN*,36,29.6,59.1
24CAR,35,29.9,59.7
25PIT*,33,29.4,58.0
26WAS*,32,29.6,58.2
27PHI*,31,30.4,60.1
28SEA*,31,30.4,60.2
29BAL*,15,30.6,57.3
30LV*,13,30.2,55.8
31MIN,13,30.3,56.1
32MIA*,2,31.1,55.8
