Team | (Bye) | ▲,WK 15,WK 16,WK 17 ★,Playoff SOS,Δ vs Reg,Implied Tot.
ARIArizona Cardinals(Wk14),NYJ | 🏟,@ | NO | 🏟,LV | 🏟,0.52,−0.15,19.6
ATLAtlanta Falcons(Wk11),@ | WAS,TB | 🏟,NO | 🏟,0.45,−0.14,22.4
BALBaltimore Ravens(Wk13),@ | PIT,CLE,@ | CIN,0.62,+0.06,25.1
BUFBuffalo Bills(Wk7),CHI,@ | DEN,@ | MIA,0.38,−0.25,26.2
CARCarolina Panthers(Wk5),CIN,@ | PIT,SEA,0.75,+0.06,20.1
CHIChicago Bears(Wk10),@ | BUF,GB,DET,0.66,+0.03,24.3
CINCincinnati Bengals(Wk6),@ | CAR,@ | IND | 🏟,BAL,0.57,0.00,25.9
CLECleveland Browns(Wk11),@ | NYG,@ | BAL,IND,0.50,−0.08,19.4
DALDallas Cowboys(Wk14),@ | LAR,JAX | 🏟,NYG | 🏟,0.60,0.00,26.5
DENDenver Broncos(Wk10),@ | LV | 🏟,BUF,@ | NE,0.63,+0.07,21.6
DETDetroit Lions(Wk6),@ | MIN | 🏟,NYG | 🏟,@ | CHI,0.53,+0.04,25.7
GBGreen Bay Packers(Wk11),MIA,@ | CHI,HOU,0.55,−0.04,25.3
HOUHouston Texans(Wk8),JAX | 🏟,@ | PHI,@ | GB,0.67,+0.15,21.6
INDIndianapolis Colts(Wk13),@ | TEN,CIN | 🏟,@ | CLE,0.56,−0.01,23.2
JAXJacksonville Jaguars(Wk7),@ | HOU | 🏟,@ | DAL | 🏟,WAS,0.41,−0.20,23.6
KCKansas City Chiefs(Wk5),NE,SF,@ | LAC,0.68,+0.13,23.0
LACLos Angeles Chargers(Wk7),SF,@ | MIA,KC,0.40,−0.20,24.0
LARLos Angeles Rams(Wk11),DAL,@ | SEA,@ | TB,0.63,+0.12,26.1
LVLas Vegas Raiders(Wk13),DEN | 🏟,TEN | 🏟,@ | ARI | 🏟,0.39,−0.22,20.9
MIAMiami Dolphins(Wk6),@ | GB,LAC,BUF,0.53,−0.04,18.5
MINMinnesota Vikings(Wk6),DET | 🏟,WAS | 🏟,@ | NYJ,0.51,−0.02,23.3
NENew England Patriots(Wk11),@ | KC,@ | NYJ,DEN,0.64,+0.06,22.4
NONew Orleans Saints(Wk8),@ | TB,ARI | 🏟,@ | ATL | 🏟,0.43,−0.13,23.0
NYGNew York Giants(Wk8),CLE,@ | DET | 🏟,@ | DAL | 🏟,0.64,+0.09,22.1
NYJNew York Jets(Wk13),@ | ARI | 🏟,NE,MIN,0.55,+0.01,19.4
PHIPhiladelphia Eagles(Wk10),SEA,HOU,@ | SF,0.78,+0.29,22.8
PITPittsburgh Steelers(Wk9),BAL,CAR,@ | TEN,0.54,−0.09,21.8
SEASeattle Seahawks(Wk11),@ | PHI,LAR,@ | CAR,0.76,+0.23,23.7
SFSan Francisco 49ers(Wk8),@ | LAC,@ | KC,PHI,0.77,+0.19,23.1
TBTampa Bay Buccaneers(Wk10),NO,@ | ATL | 🏟,LAR,0.72,+0.10,23.8
TENTennessee Titans(Wk9),IND,@ | LV | 🏟,PIT,0.57,−0.01,21.6
WASWashington Commanders(Wk7),ATL,@ | MIN | 🏟,@ | JAX,0.55,−0.03,23.2
