Team | (Bye) | ▲,WK 15,WK 16,WK 17 ★,Playoff SOS,Δ vs Reg,Implied Tot.
ARIArizona Cardinals(Wk14),NYJ | 🏟,@ | NO | 🏟,LV | 🏟,0.55,−0.14,19.6
ATLAtlanta Falcons(Wk11),@ | WAS,TB | 🏟,NO | 🏟,0.52,−0.11,22.4
BALBaltimore Ravens(Wk13),@ | PIT,CLE,@ | CIN,0.70,+0.04,25.1
BUFBuffalo Bills(Wk7),CHI,@ | DEN,@ | MIA,0.41,−0.24,26.2
CARCarolina Panthers(Wk5),CIN,@ | PIT,SEA,0.79,+0.08,20.1
CHIChicago Bears(Wk10),@ | BUF,GB,DET,0.73,+0.08,24.3
CINCincinnati Bengals(Wk6),@ | CAR,@ | IND | 🏟,BAL,0.65,+0.01,25.9
CLECleveland Browns(Wk11),@ | NYG,@ | BAL,IND,0.67,0.00,19.4
DALDallas Cowboys(Wk14),@ | LAR,JAX | 🏟,NYG | 🏟,0.77,+0.11,26.5
DENDenver Broncos(Wk10),@ | LV | 🏟,BUF,@ | NE,0.76,+0.14,21.6
DETDetroit Lions(Wk6),@ | MIN | 🏟,NYG | 🏟,@ | CHI,0.64,+0.07,25.7
GBGreen Bay Packers(Wk11),MIA,@ | CHI,HOU,0.58,−0.06,25.3
HOUHouston Texans(Wk8),JAX | 🏟,@ | PHI,@ | GB,0.70,+0.05,21.6
INDIndianapolis Colts(Wk13),@ | TEN,CIN | 🏟,@ | CLE,0.61,−0.01,23.2
JAXJacksonville Jaguars(Wk7),@ | HOU | 🏟,@ | DAL | 🏟,WAS,0.52,−0.16,23.6
KCKansas City Chiefs(Wk5),NE,SF,@ | LAC,0.74,+0.10,23.0
LACLos Angeles Chargers(Wk7),SF,@ | MIA,KC,0.38,−0.26,24.0
LARLos Angeles Rams(Wk11),DAL,@ | SEA,@ | TB,0.68,+0.09,26.1
LVLas Vegas Raiders(Wk13),DEN | 🏟,TEN | 🏟,@ | ARI | 🏟,0.48,−0.17,20.9
MIAMiami Dolphins(Wk6),@ | GB,LAC,BUF,0.73,+0.10,18.5
MINMinnesota Vikings(Wk6),DET | 🏟,WAS | 🏟,@ | NYJ,0.45,−0.13,23.3
NENew England Patriots(Wk11),@ | KC,@ | NYJ,DEN,0.60,−0.03,22.4
NONew Orleans Saints(Wk8),@ | TB,ARI | 🏟,@ | ATL | 🏟,0.53,−0.11,23.0
NYGNew York Giants(Wk8),CLE,@ | DET | 🏟,@ | DAL | 🏟,0.68,+0.06,22.1
NYJNew York Jets(Wk13),@ | ARI | 🏟,NE,MIN,0.60,+0.01,19.4
PHIPhiladelphia Eagles(Wk10),SEA,HOU,@ | SF,0.77,+0.17,22.8
PITPittsburgh Steelers(Wk9),BAL,CAR,@ | TEN,0.58,−0.11,21.8
SEASeattle Seahawks(Wk11),@ | PHI,LAR,@ | CAR,0.73,+0.14,23.7
SFSan Francisco 49ers(Wk8),@ | LAC,@ | KC,PHI,0.72,+0.07,23.1
TBTampa Bay Buccaneers(Wk10),NO,@ | ATL | 🏟,LAR,0.80,+0.12,23.8
TENTennessee Titans(Wk9),IND,@ | LV | 🏟,PIT,0.71,+0.06,21.6
WASWashington Commanders(Wk7),ATL,@ | MIN | 🏟,@ | JAX,0.66,0.00,23.2
