player,pos,team,age,posRank_fpg,ceilingRank,floor,p25,median,p75,ceiling
Bijan Robinson,RB,ATL,24,RB2 · 19.8,RB1,11.3,16.3,19.8,23.3,28.3
Jahmyr Gibbs,RB,DET,23,RB3 · 18.5,RB2,9.6,14.8,18.5,22.2,27.4
Christian McCaffrey,RB,SF,29,RB1 · 20.7,RB3,8.8,15.8,20.7,23.3,27.1
Puka Nacua,WR,LA,24,WR1 · 19.3,WR1,11.7,16.2,19.3,22.4,26.6
Jaxon Smith-Njigba,WR,SEA,24,WR2 · 18.3,WR2,11.0,15.3,18.3,21.3,25.6
Ja'Marr Chase,WR,CIN,26,WR3 · 18.2,WR3,11.0,15.3,18.2,21.1,25.4
Amon-Ra St. Brown,WR,DET,26,WR4 · 17.5,WR4,10.4,14.6,17.5,20.4,24.6
De'Von Achane,RB,MIA,24,RB8 · 16.0,RB4,9.1,13.2,16.0,18.8,22.9
Ashton Jeanty,RB,LV,22,RB6 · 16.2,RB5,9.6,13.5,16.2,18.9,22.8
Drake London,WR,ATL,24,WR5 · 16.3,WR5,9.9,13.7,16.3,18.9,22.7
James Cook,RB,BUF,26,RB9 · 15.8,RB6,8.6,12.9,15.8,18.4,22.2
Chase Brown,RB,CIN,25,RB4 · 17.1,RB7,11.4,14.8,17.1,19.2,22.2
Jonathan Taylor,RB,IND,27,RB7 · 16.1,RB8,8.3,12.9,16.1,18.5,22.0
Rashee Rice,WR,KC,25,WR6 · 15.6,WR6,9.4,13.1,15.6,18.1,21.8
Jeremiyah Love,,,,RB · ARI · Age 22,RB5 · 16.4 FP/G,11.3,14.3,16.4,18.5,21.5
CeeDee Lamb,WR,DAL,26,WR7 · 14.9,WR7,8.9,12.4,14.9,17.4,20.9
Trey McBride,TE,ARI,26,TE1 · 15.1,TE1,9.7,12.9,15.1,17.3,20.5
Saquon Barkley,RB,PHI,29,RB10 · 15.6,RB10,7.2,12.1,15.6,17.5,20.1
Omarion Hampton,RB,LAC,22,RB11 · 15.3,RB11,10.5,13.3,15.3,17.3,20.1
Quinshon Judkins,RB,CLE,22,RB13 · 14.3,RB12,8.7,12.0,14.3,16.6,19.9
Malik Nabers,WR,NYG,22,WR9 · 14.2,WR8,8.6,11.9,14.2,16.5,19.8
Justin Jefferson,WR,MIN,26,WR8 · 14.3,WR9,8.9,12.1,14.3,16.5,19.7
A.J. Brown,WR,NE,28,WR11 · 13.8,WR10,8.1,11.5,13.8,16.1,19.5
Kenneth Walker,RB,KC,25,RB12 · 14.9,RB13,9.9,12.8,14.9,16.7,19.4
Garrett Wilson,WR,NYJ,25,WR10 · 14.0,WR11,8.7,11.8,14.0,16.2,19.3
Javonte Williams,RB,DAL,25,RB16 · 13.8,RB14,7.6,11.3,13.8,16.1,19.3
George Pickens,WR,DAL,25,WR13 · 13.6,WR12,8.1,11.3,13.6,15.9,19.1
Chris Olave,WR,NO,25,WR12 · 13.7,WR13,8.4,11.5,13.7,15.9,19.0
Zay Flowers,WR,BAL,25,WR14 · 13.4,WR14,8.1,11.2,13.4,15.6,18.7
Josh Jacobs,RB,GB,28,RB14 · 14.0,RB15,6.7,11.0,14.0,15.9,18.7
Nico Collins,WR,HOU,26,WR15 · 12.9,WR15,7.8,10.8,12.9,15.0,18.0
Brock Bowers,TE,LV,23,TE2 · 13.6,TE2,9.2,11.8,13.6,15.4,18.0
Jaylen Waddle,WR,DEN,27,WR16 · 12.7,WR16,7.6,10.6,12.7,14.8,17.8
Cam Skattebo,RB,NYG,24,RB18 · 13.4,RB16,9.2,11.7,13.4,15.1,17.6
Kyren Williams,RB,LA,25,RB17 · 13.5,RB17,9.0,11.6,13.5,15.1,17.5
Bucky Irving,RB,TB,23,RB19 · 13.2,RB18,9.0,11.5,13.2,14.9,17.4
Tee Higgins,WR,CIN,27,WR17 · 12.4,WR17,7.5,10.4,12.4,14.4,17.3
Jameson Williams,WR,DET,24,WR19 · 12.2,WR18,7.3,10.2,12.2,14.2,17.1
Carnell Tate,,,,WR · TEN · Age 22,WR18 · 12.4 FP/G,7.7,10.5,12.4,14.3,17.1
TreVeyon Henderson,RB,NE,23,RB22 · 12.8,RB19,8.6,11.1,12.8,14.5,17.0
Alec Pierce,WR,IND,25,WR20 · 12.1,WR20,7.2,10.1,12.1,14.1,17.0
Marvin Harrison Jr.,WR,ARI,23,WR21 · 12.1,WR21,7.4,10.2,12.1,14.0,16.8
Rome Odunze,WR,CHI,23,WR22 · 12.0,WR22,7.2,10.0,12.0,14.0,16.8
Breece Hall,RB,NYJ,24,RB20 · 12.9,RB20,9.0,11.3,12.9,14.5,16.8
Derrick Henry,RB,BAL,32,RB15 · 13.9,RB21,5.1,10.3,13.9,15.0,16.7
Tetairoa McMillan,WR,CAR,22,WR23 · 12.0,WR23,7.3,10.1,12.0,13.9,16.7
DeVonta Smith,WR,PHI,27,WR25 · 11.8,WR24,7.1,9.9,11.8,13.7,16.5
Michael Pittman,WR,PIT,28,WR27 · 11.7,WR25,7.1,9.8,11.7,13.6,16.3
Wan'Dale Robinson,WR,TEN,25,WR26 · 11.8,WR26,7.4,10.0,11.8,13.6,16.2
Parker Washington,WR,JAX,23,WR28 · 11.6,WR27,7.0,9.7,11.6,13.5,16.2
Travis Etienne,RB,NO,27,RB21 · 12.8,RB22,8.3,11.0,12.8,14.2,16.2
Colston Loveland,TE,CHI,21,TE3 · 11.7,TE3,7.3,9.9,11.7,13.5,16.1
Luther Burden III,WR,CHI,22,WR32 · 11.4,WR28,6.8,9.5,11.4,13.3,16.0
Brian Thomas Jr.,WR,JAX,23,WR29 · 11.4,WR29,6.9,9.5,11.4,13.3,15.9
Emeka Egbuka,WR,TB,23,WR30 · 11.4,WR30,6.9,9.6,11.4,13.2,15.9
Ladd McConkey,WR,LAC,24,WR31 · 11.4,WR31,7.0,9.6,11.4,13.2,15.8
Davante Adams,WR,LA,33,WR24 · 11.9,WR32,8.1,10.4,11.9,13.4,15.7
Josh Downs,WR,IND,24,WR33 · 11.1,WR33,6.6,9.3,11.1,12.9,15.6
Khalil Shakir,WR,BUF,26,WR35 · 11.0,WR34,6.5,9.2,11.0,12.8,15.5
Chuba Hubbard,RB,CAR,26,RB23 · 11.9,RB23,8.0,10.3,11.9,13.3,15.4
Jordyn Tyson,,,,WR · NO · Age 22,WR34 · 11.1 FP/G,6.8,9.4,11.1,12.8,15.4
Kenneth Gainwell,RB,TB,26,RB24 · 11.8,RB24,7.9,10.2,11.8,13.2,15.3
Jadarian Price,,,,RB · SEA · Age 22,RB26 · 11.5 FP/G,7.8,10.0,11.5,13.0,15.2
DK Metcalf,WR,PIT,28,WR36 · 10.7,WR36,6.4,9.0,10.7,12.4,15.0
