QB rank,2021,2022,2023,2024,2025,2026
QB1,30.4,30.1,21.4,37.4,27.2,30.6
QB2,40.4,42.0,23.4,41.1,28.0,55.9
QB3,48.4,46.2,26.6,43.2,34.7,64.0
QB4,53.1,47.4,30.7,48.8,42.6,66.5
QB5,66.4,55.4,39.6,61.0,58.1,69.8
QB6,71.9,60.6,47.3,71.9,77.7,70.2
QB7,80.9,74.9,49.5,72.2,91.8,71.5
QB8,82.3,75.1,62.3,90.0,93.7,78.5
QB9,92.3,78.8,89.8,93.5,99.7,82.8
QB10,100.4,87.5,94.4,95.0,99.8,86.6
QB11,108.8,93.5,101.7,99.5,102.6,91.1
QB12,109.3,106.0,106.1,104.6,111.8,93.6
QB13,115.0,107.8,107.7,113.4,111.8,98.1
QB14,120.9,110.3,113.8,118.1,114.8,102.5
QB15,124.8,116.6,115.3,123.6,120.6,104.7
QB16,133.1,127.6,120.9,125.3,125.0,105.4
QB17,145.0,132.9,130.1,140.3,128.1,107.5
QB18,145.4,137.4,141.5,144.1,129.3,109.3
QB19,151.2,144.9,146.2,148.2,131.0,113.7
QB20,155.2,155.0,149.3,158.6,134.2,116.3
QB21,162.6,168.2,152.2,162.3,145.5,131.1
QB22,165.5,174.3,155.8,166.3,152.8,137.0
QB23,168.3,175.5,159.6,169.4,154.1,139.3
QB24,175.6,186.8,176.2,176.7,159.1,141.3
QB25,181.1,192.2,182.9,185.4,165.9,144.4
QB26,183.5,192.8,198.6,186.0,174.4,153.6
QB27,189.8,200.5,200.7,192.1,180.2,168.4
QB28,195.2,204.1,202.9,196.8,194.3,169.9
QB29,201.9,205.7,204.4,203.7,201.8,179.0
QB30,207.3,209.9,206.8,206.5,202.1,193.0
