RB rank,2021,2022,2023,2024,2025,2026
RB1,1.0,1.6,3.3,1.3,2.6,1.5
RB2,2.3,1.7,6.3,6.1,4.0,1.6
RB3,3.0,5.4,6.6,7.0,4.7,6.8
RB4,4.7,7.3,10.3,14.0,6.6,7.2
RB5,6.0,8.2,14.3,15.2,12.7,11.0
RB6,9.3,12.7,14.5,18.6,13.0,11.5
RB7,11.7,12.9,20.5,19.4,16.8,14.2
RB8,12.2,13.7,23.6,26.3,17.0,14.3
RB9,12.5,14.6,29.2,30.0,20.1,15.6
RB10,14.8,16.4,34.1,32.6,20.7,16.5
RB11,14.8,18.5,37.0,39.9,20.8,17.1
RB12,15.6,19.8,37.5,45.8,27.5,17.5
RB13,16.8,24.0,44.3,53.8,30.0,21.8
RB14,21.2,27.6,44.5,58.6,36.4,27.4
RB15,24.8,34.8,49.3,60.7,38.4,29.2
RB16,33.1,37.0,50.1,63.7,46.2,33.6
RB17,35.8,42.3,53.6,69.7,50.5,34.5
RB18,36.8,52.3,54.9,72.8,54.3,35.0
RB19,36.9,53.9,58.7,74.9,55.1,42.8
RB20,42.3,60.1,62.7,79.5,60.2,48.3
RB21,46.2,60.2,66.0,83.1,61.2,48.6
RB22,51.5,66.0,71.0,85.9,63.4,48.9
RB23,55.3,68.4,73.8,86.1,67.9,52.1
RB24,57.0,68.6,75.1,88.9,69.5,54.6
RB25,58.0,70.7,76.1,92.7,74.1,57.8
RB26,62.7,79.9,80.7,94.0,77.9,60.3
RB27,63.4,81.9,81.4,97.7,84.1,68.6
RB28,65.4,81.9,82.6,99.2,84.3,74.9
RB29,66.9,84.8,84.7,101.0,84.4,77.2
RB30,69.5,89.3,88.7,101.7,87.1,78.4
RB31,70.2,90.9,91.4,105.2,90.6,84.8
RB32,73.8,95.2,94.0,109.0,92.8,87.1
RB33,77.8,100.5,99.5,110.3,95.8,90.6
RB34,92.5,101.3,100.6,111.3,103.8,95.1
RB35,97.2,103.8,104.8,115.3,116.0,103.5
RB36,102.2,107.2,105.8,115.9,119.1,109.8
RB37,102.8,107.3,108.9,118.5,121.2,111.8
RB38,116.0,113.3,115.1,122.2,122.7,116.5
RB39,116.5,114.5,118.3,129.0,124.3,117.0
RB40,117.9,121.6,120.6,130.2,125.4,120.6
RB41,119.8,123.4,121.1,131.7,130.1,123.6
RB42,123.5,129.5,125.5,136.6,133.2,123.7
RB43,127.0,131.9,127.2,137.3,137.4,129.8
RB44,130.1,135.0,127.8,139.1,137.8,144.0
RB45,132.9,135.1,131.9,142.2,142.3,144.2
RB46,134.7,135.4,140.1,142.3,142.7,145.3
RB47,139.6,145.7,142.1,143.2,147.0,148.9
RB48,143.9,149.5,143.2,144.4,147.6,157.1
RB49,149.6,150.7,146.0,147.0,148.2,162.1
RB50,150.6,153.3,148.5,153.5,149.2,163.5
RB51,155.1,157.7,154.4,158.5,155.8,166.3
RB52,163.9,161.3,161.8,160.3,158.0,169.6
RB53,164.9,163.9,172.3,161.3,165.1,173.3
RB54,169.2,166.2,172.8,163.4,166.1,177.3
RB55,170.3,178.7,181.5,170.1,173.6,182.7
RB56,174.4,178.8,183.4,172.0,173.8,186.5
RB57,175.7,184.7,185.8,176.6,179.3,188.3
RB58,175.9,186.4,187.4,185.5,180.3,192.9
RB59,183.1,188.5,190.4,189.0,183.6,193.6
RB60,193.7,190.2,190.7,192.1,184.8,196.8
RB61,194.3,197.4,197.6,195.3,192.6,202.1
RB62,201.6,202.6,198.2,202.5,200.9,204.3
RB63,203.4,205.7,203.3,208.1,202.7,204.7
RB64,207.4,207.1,204.4,209.3,202.8,210.0
RB65,207.7,209.7,204.7,209.5,206.7,211.1
