TE rank,2021,2022,2023,2024,2025,2026
TE1,6.6,13.4,7.3,38.9,19.8,19.9
TE2,20.4,21.3,28.5,41.3,26.0,25.6
TE3,26.9,25.7,51.5,46.1,34.8,46.0
TE4,39.7,52.7,52.1,50.8,74.0,66.7
TE5,52.9,55.6,67.4,52.4,81.8,81.4
TE6,60.0,72.7,78.5,61.6,86.7,94.5
TE7,79.5,84.7,79.3,65.2,89.1,97.1
TE8,95.7,94.4,97.2,76.2,97.2,104.4
TE9,100.0,101.8,104.6,83.5,104.6,118.8
TE10,107.5,112.7,109.3,94.4,108.4,121.1
TE11,120.5,114.0,115.9,101.0,108.6,126.2
TE12,125.0,126.3,132.1,118.7,116.7,127.3
TE13,126.6,137.3,133.0,134.2,134.4,129.5
TE14,137.0,143.8,140.3,134.3,135.0,132.0
TE15,143.2,144.9,145.2,142.7,138.1,135.8
TE16,152.8,152.1,151.7,153.9,141.9,143.4
TE17,155.6,159.0,155.4,154.1,155.1,150.2
TE18,165.5,160.3,158.6,166.4,161.4,150.6
TE19,166.1,164.5,158.6,169.7,164.2,151.6
TE20,171.1,170.4,160.8,171.8,165.5,155.1
TE21,172.4,173.6,170.2,173.9,175.2,156.1
TE22,188.3,178.4,173.8,180.9,183.5,163.7
TE23,191.1,179.0,180.7,183.4,184.1,171.7
TE24,195.3,186.2,186.7,190.8,185.1,171.8
TE25,200.8,192.0,187.8,193.2,191.8,179.1
TE26,203.5,195.9,189.2,198.6,196.8,184.1
TE27,205.5,200.8,202.4,208.5,197.0,187.2
