WR rank,2021,2022,2023,2024,2025,2026
WR1,6.0,3.3,1.1,2.1,1.1,3.1
WR2,8.3,4.2,2.3,3.0,3.5,4.1
WR3,10.5,6.0,4.0,5.4,6.3,5.2
WR4,13.6,9.0,7.8,5.6,8.5,7.8
WR5,17.4,10.6,10.0,6.3,9.5,9.4
WR6,18.8,15.5,11.7,9.0,10.9,9.8
WR7,22.3,20.8,12.5,9.8,12.2,19.0
WR8,22.9,22.2,12.6,11.8,12.7,22.5
WR9,25.6,24.8,16.3,13.0,15.1,23.0
WR10,26.2,24.9,16.4,15.4,18.9,25.3
WR11,28.1,27.3,19.1,16.8,22.9,25.6
WR12,29.5,29.1,19.7,16.9,25.6,29.5
WR13,32.1,31.2,22.2,19.5,28.6,30.9
WR14,33.9,32.6,23.3,20.4,31.4,31.7
WR15,35.6,32.9,27.1,21.9,32.3,34.7
WR16,36.8,33.1,29.5,23.8,34.0,36.3
WR17,38.2,38.2,33.5,24.2,36.9,37.5
WR18,40.7,38.8,34.5,25.5,40.2,38.9
WR19,41.9,39.9,35.0,27.3,40.7,39.2
WR20,44.4,41.1,37.0,27.6,40.8,40.2
WR21,45.6,43.8,39.2,28.9,41.5,43.1
WR22,47.3,44.3,42.0,30.1,43.1,44.9
WR23,50.3,45.6,43.5,33.9,45.9,47.9
WR24,50.9,48.4,47.3,34.8,46.3,49.1
WR25,52.4,50.6,48.3,37.6,49.2,50.5
WR26,55.3,51.3,50.7,38.5,52.0,51.7
WR27,58.5,52.4,56.1,40.1,52.2,53.8
WR28,59.8,55.0,57.7,41.6,52.4,56.1
WR29,63.5,58.7,59.0,44.5,53.3,58.9
WR30,64.6,60.0,59.6,49.1,56.0,60.3
WR31,66.4,61.8,61.1,49.5,58.3,63.0
WR32,71.7,65.8,61.5,52.2,58.6,64.4
WR33,74.2,68.3,68.4,54.6,60.1,67.3
WR34,75.0,68.7,68.8,55.7,63.0,72.0
WR35,75.2,72.8,68.9,60.7,63.9,72.4
WR36,75.5,73.4,71.3,62.0,66.3,72.9
WR37,80.8,75.4,71.6,63.0,67.6,76.4
WR38,82.7,77.1,72.6,63.6,71.0,81.5
WR39,82.9,78.0,79.1,67.4,71.1,82.4
WR40,84.8,82.1,81.5,68.4,71.3,85.8
WR41,87.0,85.1,84.0,71.7,75.9,88.5
WR42,89.3,87.9,85.7,72.6,78.7,89.8
WR43,90.0,88.1,86.2,77.0,79.0,92.3
WR44,90.5,95.3,90.0,77.1,83.2,97.6
WR45,94.3,95.6,92.8,78.7,83.3,98.7
WR46,95.1,97.4,94.7,80.7,87.7,101.0
WR47,96.2,97.6,97.9,86.8,91.7,102.1
WR48,97.1,102.3,98.6,87.2,98.6,105.9
WR49,98.6,103.2,99.6,89.5,99.3,108.5
WR50,101.1,109.2,111.1,97.8,102.1,114.5
WR51,102.0,114.1,111.6,98.1,103.2,116.8
WR52,106.7,114.7,114.4,100.5,104.3,117.8
WR53,106.7,116.8,118.0,102.4,108.8,125.4
WR54,108.1,117.5,118.1,111.3,114.6,128.6
WR55,109.3,120.1,118.4,113.8,116.5,133.6
WR56,112.2,121.3,124.3,117.8,116.6,133.6
WR57,117.1,124.0,126.5,119.2,116.8,137.1
WR58,119.0,126.2,131.0,121.5,119.8,139.2
WR59,121.3,126.6,133.0,124.4,134.0,140.7
WR60,122.4,127.7,133.9,127.1,135.3,147.8
WR61,128.1,132.8,137.1,127.3,140.3,149.9
WR62,132.1,138.5,138.3,127.7,145.4,153.8
WR63,135.5,138.8,142.8,130.8,147.6,156.7
WR64,137.2,139.3,149.0,134.7,150.6,159.4
WR65,140.7,142.9,150.1,142.0,150.9,160.6
WR66,140.9,146.0,152.7,145.6,155.3,165.5
WR67,141.5,147.9,155.3,150.3,158.5,166.5
WR68,147.8,149.8,157.1,155.1,161.9,170.7
WR69,150.5,150.0,158.4,157.0,167.7,175.2
WR70,151.1,151.1,165.4,162.1,167.8,178.3
WR71,157.2,154.9,166.2,162.8,170.9,179.4
WR72,158.1,159.8,169.2,165.6,172.4,180.6
WR73,159.8,162.8,170.4,166.6,174.9,183.9
WR74,165.9,165.2,172.7,171.0,184.1,184.9
WR75,169.0,167.4,174.3,175.8,185.7,185.5
WR76,169.9,172.0,175.5,176.1,186.5,189.6
WR77,174.3,172.5,177.6,182.1,186.8,195.3
WR78,175.6,173.9,178.9,184.2,190.3,195.7
WR79,176.3,180.8,183.2,187.6,192.9,197.6
WR80,177.6,184.1,190.4,187.8,195.1,202.2
WR81,180.4,184.7,191.1,190.3,198.5,204.5
WR82,187.0,188.0,193.1,193.8,204.2,206.7
WR83,187.6,193.8,194.3,198.4,205.6,207.7
WR84,190.0,194.7,198.1,201.7,206.2,208.2
WR85,192.7,199.8,199.5,202.0,208.1,209.9
WR86,196.4,202.4,205.1,203.8,210.7,210.7
WR87,199.3,206.2,208.1,205.2,210.9,210.8
