team,vac_tgt_WR,vac_tgt_TE,vac_tgt_RB,vac_tgt_OTH,vac_tgt_total,vac_rush_total,inc_tgt_WR,inc_tgt_TE,inc_tgt_RB,inc_tgt_OTH,inc_tgt_total,inc_rush_total,ret_tgt_WR,ret_tgt_TE,ret_tgt_RB,ret_tgt_OTH,ret_tgt_total,ret_rush_total
ARI,38,0,65,0,103,143,58,0,16,0,74,143,241,218,59,0,518,155
ATL,108,0,16,0,124,145,101,26,15,0,142,105,150,127,103,0,380,297
BAL,8,51,14,0,73,60,0,6,0,0,6,0,203,70,59,0,332,352
BUF,17,0,2,0,19,8,90,5,0,0,95,15,278,121,86,0,485,418
CAR,0,0,50,0,50,236,48,0,3,0,51,17,289,99,42,0,430,165
CHI,155,6,0,0,161,20,44,0,0,0,44,2,160,130,79,0,369,406
CIN,0,41,0,0,41,0,0,0,0,0,0,0,367,88,111,0,566,343
CLE,0,96,32,0,128,24,8,11,0,0,19,0,232,123,89,0,444,359
DAL,34,0,0,0,34,0,47,0,0,0,47,0,353,138,82,0,573,406
DEN,0,0,0,0,0,0,100,0,0,0,100,2,357,114,117,0,588,372
DET,30,15,29,0,74,160,42,10,26,0,78,126,305,77,94,0,476,259
GB,131,0,17,0,148,126,7,0,0,0,7,2,140,98,61,0,299,287
HOU,60,6,0,0,66,0,0,10,30,0,40,177,286,122,76,0,484,404
IND,111,0,20,0,131,23,20,0,0,0,20,0,185,139,57,0,381,361
JAX,61,19,52,0,132,266,0,0,21,0,21,126,352,86,26,0,464,125
KC,119,1,28,0,148,132,0,0,56,0,56,265,193,146,62,0,401,232
LA,15,0,0,0,15,0,0,0,0,0,0,0,352,150,64,0,566,427
LAC,0,10,0,0,10,1,0,111,23,0,134,61,370,89,69,0,528,360
LV,0,0,0,0,0,0,56,4,0,0,60,17,214,156,95,0,465,321
MIA,129,35,11,0,175,4,49,6,0,0,55,0,116,67,103,0,286,397
MIN,53,6,4,0,63,19,90,0,0,0,90,0,223,88,75,0,386,331
NE,0,26,0,0,26,0,206,20,2,0,228,2,283,89,83,0,455,382
NO,3,21,1,0,25,19,0,41,56,0,97,277,250,123,76,0,449,340
NYG,140,26,0,0,166,3,186,51,2,0,239,1,165,76,99,0,340,396
NYJ,66,9,0,0,75,3,24,0,0,0,24,0,225,97,93,0,415,342
PHI,159,9,3,0,171,12,140,28,2,0,170,21,128,95,66,0,289,357
PIT,98,4,85,0,187,129,111,1,50,0,162,237,161,151,47,0,359,250
SEA,3,0,36,0,39,221,0,6,17,0,23,125,353,102,28,0,483,249
SF,150,0,12,0,162,94,114,0,0,0,114,0,92,130,157,0,379,317
TB,66,0,45,0,111,132,36,0,85,0,121,114,297,86,46,0,429,282
TEN,52,79,0,0,131,0,140,35,45,0,220,95,223,61,93,0,377,339
WAS,0,0,4,0,4,112,89,89,77,0,255,162,273,104,51,0,428,252
