team,week,opp,isHome,isBye,isDome,teamImplied,oppImplied,total,spread
ARI,1,LAC,false,false,false,16,29,45,13
ARI,2,SEA,true,false,true,17.5,28,45,10.5
ARI,3,SF,false,false,false,17,30,47,13.5
ARI,4,NYG,false,false,false,18.5,27,45.5,8.5
ARI,5,DET,true,false,true,19,29,48.5,10
ARI,6,LAR,false,false,false,16.5,31.5,48,15
ARI,7,DEN,true,false,true,17,25.5,42.5,8.5
ARI,8,DAL,false,false,true,19,31,50,11.5
ARI,9,SEA,false,false,false,15.5,30,45,14.5
ARI,10,LAR,true,false,true,18.5,29.5,48,11
ARI,11,KC,false,false,false,15.5,29,45,13.5
ARI,12,WAS,true,false,true,21.5,26.5,48,5
ARI,13,PHI,true,false,true,17.5,27,44.5,9.5
ARI,14,,,true,,,,,
ARI,15,NYJ,true,false,true,20,21.5,41.5,1.5
ARI,16,NO,false,false,true,18,26.5,44.5,8.5
ARI,17,LV,true,false,true,20.5,22.5,42.5,2
ARI,18,SF,true,false,true,19,28,47,9.5
ATL,1,PIT,false,false,false,19.5,24,43,4.5
ATL,2,CAR,true,false,true,22.5,21,43.5,-1.5
ATL,3,GB,false,false,false,19.5,27,46.5,8
ATL,4,NO,false,false,true,20.5,24,44.5,3
ATL,5,BAL,true,false,true,21.5,26.5,47.5,5
ATL,6,CHI,true,false,true,22,25,47,2.5
ATL,7,SF,true,false,true,21.5,25.5,47,4
ATL,8,TB,false,false,false,20.5,25.5,46.5,5
ATL,9,CIN,true,false,true,22.5,26.5,48.5,4
ATL,10,KC,true,false,true,20.5,24.5,45,4
ATL,11,,,true,,,,,
ATL,12,MIN,false,false,true,20,25,44.5,5
ATL,13,DET,true,false,true,22,26.5,48,4.5
ATL,14,CLE,false,false,false,20,21,41,1.5
ATL,15,WAS,false,false,false,22,25.5,47.5,3.5
ATL,16,TB,true,false,true,22.5,23.5,46.5,1
ATL,17,NO,true,false,true,22.5,22,44.5,-1
ATL,18,CAR,false,false,false,20.5,23,43.5,2.5
BAL,1,IND,false,false,true,26.5,23.5,50,-3
