team,avgOff,avgDef
ARI,18.47,27.03
ATL,21.18,24.26
BAL,25.93,22.04
BUF,26.09,22.59
CAR,20.66,23.19
CHI,24.5,22.94
CIN,25.94,23.09
CLE,18.81,22.57
DAL,25.76,24.62
DEN,22.4,20.69
DET,26.07,22.54
GB,24.87,22.04
HOU,22.76,20.74
IND,23.37,24.49
JAX,23.28,22.93
KC,24.03,21.18
LV,19.16,23.87
LAC,23.76,21.5
LAR,26.46,21.99
MIA,19.06,25.91
MIN,22.47,22.5
NE,23.76,21.38
NO,21.5,23.35
NYG,22.06,24.03
NYJ,18.57,23.46
PHI,23.97,21
PIT,21.47,22.03
SF,25.13,22.37
SEA,24.76,20.79
TB,23.31,23.49
TEN,20.69,24.16
WAS,23.32,24.82
