,I Did It Myself Score,,,,,,,,,,,,,,,,,,,,
,Name,Team,RTE,TGT,REC,YPRR,MTF/REC,DESIGN,CC,CC %,HERO,YPTOE,WIDE RTE %,SLOT RTE %,MOTION RTE,MOTION %,MOTION % RK,DESIGN %,DESIGN % RK,IDIM Score,IDIM Rank
,Jahan Dotson,PHI,386,35,18,0.68,,0,3,100,1,-1.2,57.8,42,176,45.6,8,0,1,4.5,1
,Darius Slayton,NYG,396,61,37,1.36,0.14,0,6,46.2,1,0.1,82.6,17.4,184,46.46,13,0,1,7,2
,Cedric Tillman,CLV,283,37,21,0.95,0.05,0,3,50,0,-1,68.9,31.1,135,47.7,17,0,1,9,3
,Elic Ayomanor,TEN,445,86,41,1.16,0.05,1,12,60,1,-2.6,82.5,17.3,168,37.75,1,1.2,22,11.5,4
,Terry McLaurin,WAS,245,58,38,2.38,0.11,0,9,64.3,1,1.1,85.7,14.3,120,48.98,24,0,1,12.5,5
,Chris Moore,WAS,210,21,11,0.99,,0,2,33.3,1,0.4,82.4,17.6,104,49.52,26,0,1,13.5,6
,Jayden Higgins,HST,341,68,41,1.54,0.02,0,3,37.5,0,-0.7,78.3,21.4,174,51.03,30,0,1,15.5,7
,Van Jefferson,TEN,328,50,29,1.07,,1,6,66.7,1,-1.5,87.2,12.8,138,42.07,3,2,29,16,8
,Michael Wilson,ARZ,601,124,78,1.67,0.12,2,20,64.5,3,-0.3,71.4,28.6,275,45.76,9,1.6,24,16.5,9
,Mack Hollins,NE,326,65,46,1.69,0.04,0,7,63.6,0,-0.3,73.3,24.2,171,52.45,40,0,1,20.5,10
,Kayshon Boutte,NE,354,45,33,1.56,0.03,0,10,71.4,2,2.2,89.8,9.9,188,53.11,42,0,1,21.5,11
,Courtland Sutton,DEN,549,120,74,1.85,0.09,1,16,57.1,1,-0.2,80.7,19.3,274,49.91,28,0.8,17,22.5,12
,Xavier Hutchinson,HST,379,56,35,1.13,0.11,1,3,50,0,-0.5,79.9,20.1,184,48.55,19,1.8,26,22.5,12
,Christian Watson,GB,229,55,35,2.67,,0,12,66.7,1,1.3,68.1,29.7,125,54.59,52,0,1,26.5,14
,A.J. Brown,PHI,450,120,78,2.23,0.12,3,17,60.7,2,0,87.3,12.7,218,48.44,18,2.5,36,27,15
,Tee Higgins,CIN,494,95,59,1.71,0.14,0,21,58.3,4,0.1,87.7,12.1,273,55.26,55,0,1,28,16
,Tetairoa McMillan,CAR,522,119,70,1.94,0.11,3,8,34.8,1,-0.2,80.1,19.9,254,48.66,22,2.5,36,29,17
,Alec Pierce,IND,445,84,47,2.25,0.02,0,9,34.6,2,1.4,89,11,249,55.96,60,0,1,30.5,18
,Jalen Coker,CAR,271,41,33,1.45,0.09,2,7,100,2,1.8,39.9,59.8,122,45.02,6,4.9,56,31,19
,Jerry Jeudy,CLV,554,104,50,1.09,0.06,2,5,38.5,0,-2.8,81.6,18.2,286,51.62,35,1.9,27,31,19
,Adam Thielen,"MIN, PIT",224,34,19,0.83,0.05,1,7,63.6,0,-2.2,41.1,58.5,109,48.66,22,2.9,42,32,21
,Tyler Lockett,"TEN, LV",349,51,32,0.83,0.03,3,4,44.4,0,-1.5,27.5,72.5,160,45.85,11,5.9,59,35,22
,Tyquan Thornton,KC,226,36,19,1.94,,1,4,50,2,0.4,62.8,37.2,113,50,29,2.8,41,35,22
,Keenan Allen,LAC,453,118,81,1.72,0.14,5,10,62.5,1,-0.9,60.5,39.5,220,48.57,20,4.2,52,36,24
,Andrei Iosivas,CIN,505,58,33,0.86,0.18,1,5,33.3,1,-0.5,41.2,58.6,273,54.06,49,1.7,25,37,25
,Nico Collins,HST,458,118,71,2.44,0.06,3,22,71,2,0.8,79.7,20.3,239,52.18,38,2.5,36,37,25
,Pat Bryant,DEN,279,47,31,1.35,0.13,3,4,57.1,0,0.4,41.2,57.7,133,47.67,16,6.4,62,39,27
,Romeo Doubs,GB,390,84,55,1.86,0.09,2,12,54.5,0,-0.1,81.8,18.2,208,53.33,44,2.4,34,39,27
,Jalen Nailor,MIN,373,50,29,1.19,0.1,1,7,77.8,2,-0.2,38.9,60.6,202,54.16,50,2,29,39.5,29
,Rashod Bateman,BLT,296,36,19,0.76,0.16,0,4,80,1,-2.1,87.8,11.8,178,60.14,78,0,1,39.5,29
,Mike Evans,TB,209,59,30,1.76,0.03,0,11,50,0,-2.7,75.6,24.4,128,61.24,81,0,1,41,31
,Xavier Legette,CAR,377,61,35,0.96,0.11,5,6,54.5,0,-2.3,61.3,38.7,178,47.21,15,8.2,67,41,31
,Davante Adams,LA,380,111,60,2.08,0.08,1,9,50,1,-1.8,85.8,14.2,217,57.11,65,0.9,19,42,33
,Josh Downs,IND,355,84,58,1.59,0.09,2,6,54.5,2,-0.7,18.9,80.6,195,54.93,53,2.4,34,43.5,34
,Marquise Brown,KC,365,72,49,1.61,0.14,7,4,57.1,2,0,59.5,40,169,46.3,12,9.7,75,43.5,34
,Jalen Tolbert,DAL,255,32,18,0.8,0.17,1,1,33.3,2,-2,54.1,45.9,136,53.33,44,3.1,45,44.5,36
,Marvin Harrison,ARZ,359,73,41,1.69,0.05,2,6,54.5,3,-0.7,76.9,23.1,195,54.32,51,2.7,39,45,37
,Devaughn Vele,NO,230,36,25,1.27,,0,10,90.9,3,-0.5,56.5,40,147,63.91,90,0,1,45.5,38
,Dont'e Thornton,LV,224,30,10,0.6,,1,3,37.5,1,-5.3,68.8,31.3,120,53.57,46,3.3,46,46,39
,Dontayvion Wicks,GB,213,44,30,1.56,0.1,1,5,62.5,0,-0.9,50.7,47.4,120,56.34,62,2.3,32,47,40
,George Pickens,DAL,583,131,93,2.45,0.17,1,24,72.7,5,2.5,90.1,9.9,348,59.69,77,0.8,17,47,40
,JuJu Smith-Schuster,KC,323,42,33,1.07,0.12,5,5,71.4,0,1.6,55.1,44.3,148,45.82,10,11.9,84,47,40
,DeVonta Smith,PHI,497,113,77,2.03,0.01,10,11,50,3,0.4,41.6,58.4,247,49.7,27,8.8,68,47.5,43
,Jordan Addison,MIN,400,73,42,1.53,0.07,2,6,50,2,-0.6,77.8,22,222,55.5,57,2.7,39,48,44
,Ladd McConkey,LAC,536,104,66,1.47,0.2,4,2,20,0,-0.5,35.1,64,288,53.73,48,3.8,50,49,45
,Stefon Diggs,NE,401,100,85,2.53,0.16,4,11,84.6,3,2.6,45.9,53.9,215,53.62,47,4,51,49,45
