name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Puka Nacua,WR,LAR,3.923579,1.0,99.04,99.68,99.68,76.24,5.99,99.68,81.58,97.15,57.44,,99.59,55.41,87.16,,80.08,,82.12,83.11,99.5,99.5,82.53,23.67,17,CONSENSUS STUD; POLARIZING
Jahmyr Gibbs,RB,DET,1.1574535,2.0,99.52,99.52,99.52,75.15,5.75,99.52,92.0,,,50.0,,,69.64,71.88,97.92,,47.47,83.33,63.25,75.9,75.36,25.35,15,POLARIZING; FLOOR RISK; RB-ZONE-SCHEME
Jaxon Smith-Njigba,WR,SEA,5.4150596,3.0,98.4,99.04,98.4,75.0,5.28,98.4,81.58,98.78,24.38,,98.78,64.86,73.65,,19.11,,63.91,58.28,98.51,93.07,73.5,29.99,17,CONSENSUS STUD; POLARIZING
Bijan Robinson,RB,ATL,2.0989115,4.0,98.56,98.56,97.6,76.44,7.47,97.6,82.0,,,50.0,,,98.21,65.62,90.62,,20.71,85.86,50.6,72.89,72.85,28.09,15,CONSENSUS STUD; POLARIZING; RB-ZONE-SCHEME
Jonathan Taylor,RB,IND,8.428704,5.0,96.63,97.6,96.63,72.7,2.87,96.63,50.0,,,50.0,,,73.21,76.04,97.92,,80.3,22.73,70.48,49.4,70.22,28.53,14,POLARIZING; RB-GAP-SCHEME
Ja'Marr Chase,WR,CIN,3.0714905,6.0,99.68,98.4,99.04,75.88,6.69,99.04,81.58,77.24,16.12,,61.38,73.65,84.46,,55.69,,15.89,77.48,88.61,38.12,67.59,29.96,17,CONSENSUS STUD; POLARIZING
Amon-Ra St. Brown,WR,DET,7.1643257,7.0,97.76,97.76,97.76,74.3,4.58,97.76,81.58,80.89,88.84,,79.27,58.11,50.0,,9.35,,7.62,55.63,95.54,75.74,67.79,31.62,17,POLARIZING
CeeDee Lamb,WR,DAL,10.389036,8.0,96.47,97.12,97.12,75.53,11.62,97.12,53.95,91.87,27.69,,84.96,48.65,56.08,,15.45,,38.41,63.58,87.62,51.49,64.4,28.57,17,POLARIZING
James Cook III,RB,BUF,11.130455,9.0,95.67,96.63,94.71,70.84,5.75,94.71,54.0,,,50.0,,,55.36,82.29,82.29,,98.48,4.55,87.35,61.45,68.94,29.82,15,POLARIZING
Christian McCaffrey,RB,SF,6.256311,10.0,97.6,95.67,98.56,73.28,1.72,98.56,58.0,,,50.0,,,62.5,15.62,25.0,,66.67,94.95,6.63,24.7,57.96,34.48,15,POLARIZING; EFFICIENCY TRAP
Drake London,WR,ATL,17.398739,11.0,95.83,96.47,95.19,74.12,10.21,95.19,59.21,93.09,5.37,,62.2,33.11,62.16,,36.99,,52.32,92.72,77.72,67.82,65.28,28.84,17,POLARIZING; ZONE-BEATER
Justin Jefferson,WR,MIN,8.967708,12.0,97.12,95.83,96.47,74.12,8.1,96.47,50.0,67.89,39.26,,24.8,76.35,71.62,,49.59,,24.5,36.75,15.35,58.42,58.29,29.8,16,POLARIZING; EFFICIENCY TRAP; FLOOR RISK
Saquon Barkley,RB,PHI,13.358328,13.0,93.75,94.71,87.98,64.65,12.07,87.98,92.0,,,50.0,,,51.79,25.0,90.62,,47.47,88.38,36.75,69.28,66.16,26.59,15,POLARIZING; EFFICIENCY TRAP
Ashton Jeanty,RB,LV,12.128224,14.0,94.71,93.75,92.79,70.11,9.77,92.79,70.0,,,50.0,,,80.36,7.29,61.46,,20.71,41.92,0.6,12.65,53.26,34.13,15,POLARIZING; EFFICIENCY TRAP
Derrick Henry,RB,BAL,20.30244,15.0,88.94,92.79,87.02,72.13,14.37,87.02,46.0,,,50.0,,,50.0,94.79,90.62,,47.47,55.05,82.53,61.45,69.3,23.19,14,POLARIZING
De'Von Achane,RB,MIA,19.072338,16.0,89.9,91.83,95.67,73.28,8.62,95.67,78.0,,,50.0,,,8.93,96.88,90.62,,20.71,10.61,95.78,88.55,66.34,34.71,15,POLARIZING
Kenneth Walker III,RB,KC,14.764475,17.0,92.79,90.87,88.94,68.82,18.39,88.94,50.0,,,50.0,,,50.0,30.21,77.08,,20.71,29.29,25.9,45.78,55.98,28.33,13,POLARIZING; EMPTY CALORIES
George Pickens,WR,DAL,24.32811,18.0,93.91,95.19,90.71,70.42,12.32,90.71,81.58,95.53,15.29,,93.09,12.16,96.62,,17.07,,38.41,63.58,97.52,93.07,68.07,33.28,17,POLARIZING; MAN-BEATER
Omarion Hampton,RB,LAC,15.472762,19.0,91.83,89.9,93.75,68.68,10.92,93.75,50.0,,,50.0,,,35.71,67.71,61.46,,3.54,7.58,64.46,53.01,56.59,30.78,14,POLARIZING
Josh Allen,QB,BUF,27.015394,20.0,99.11,99.11,99.11,82.82,35.94,99.11,67.86,,,,,,,,,76.53,91.07,6.25,84.69,78.57,76.68,27.42,12,POLARIZING; QB-ZONE-BEATER
Chase Brown,RB,CIN,16.945114,21.0,90.87,88.94,86.06,69.25,23.56,86.06,50.0,,,50.0,,,41.07,55.21,61.46,,66.67,63.13,50.6,10.24,60.22,23.4,14,POLARIZING
Nico Collins,WR,HOU,22.560112,22.0,94.55,94.55,93.91,73.76,13.03,93.91,81.58,78.46,70.66,,78.46,12.16,88.51,,25.2,,7.62,72.19,89.6,63.86,66.59,30.39,17,POLARIZING
DeVonta Smith,WR,PHI,28.101109,23.0,92.63,93.91,90.06,69.8,14.08,90.06,81.58,67.07,32.64,,89.02,51.35,22.3,,45.93,,52.32,95.36,93.56,65.35,67.47,26.06,17,POLARIZING; ZONE-BEATER
A.J. Brown,WR,NE,17.701973,24.0,95.19,93.27,92.63,74.3,17.25,92.63,40.79,88.62,22.73,,70.33,7.43,80.41,,42.28,,52.32,5.3,85.64,39.11,58.84,31.44,17,POLARIZING
Trey McBride,TE,ARI,24.179825,25.0,97.62,99.21,99.21,75.0,2.83,99.21,72.22,75.0,14.42,,83.65,20.83,66.67,,,,38.33,49.17,98.91,61.96,65.89,31.29,16,POLARIZING
Brock Bowers,TE,LV,20.01768,26.0,99.21,97.62,97.62,74.06,4.72,97.62,83.33,47.12,97.12,,62.5,18.06,79.17,,,,31.67,25.0,59.78,65.22,64.99,30.53,16,POLARIZING; FLOOR RISK; ZONE-BEATER
Jeremiyah Love,RB,ARI,27.258656,27.0,87.98,87.98,91.83,70.12,13.22,91.83,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,50.51,50.0,50.0,67.62,26.61,8,POLARIZING
Kyren Williams,RB,LAR,30.113329,28.0,87.02,87.02,84.13,70.11,37.36,84.13,50.0,,,50.0,,,1.79,69.79,25.0,,91.41,98.48,94.58,66.87,67.69,27.94,14,POLARIZING
Zay Flowers,WR,BAL,32.1413,29.0,91.35,92.63,91.35,71.3,17.96,91.35,81.58,86.18,87.19,,91.46,88.51,37.16,,76.83,,82.12,66.56,91.58,90.59,78.57,20.3,17,
Rashee Rice,WR,KC,25.12171,30.0,93.27,91.99,95.83,73.24,8.8,95.83,19.74,91.87,3.72,,32.93,89.86,62.16,,27.24,,91.72,16.89,22.28,25.74,55.48,35.24,17,POLARIZING; FLOOR RISK; ZONE-BEATER
Breece Hall,RB,NYJ,31.94612,31.0,86.06,86.06,90.87,74.86,18.39,90.87,50.0,,,50.0,,,87.5,40.62,90.62,,47.47,25.76,13.86,57.83,60.72,27.01,15,POLARIZING; RB-ZONE-SCHEME
Javonte Williams,RB,DAL,38.24001,32.0,84.13,85.1,85.1,68.96,25.86,85.1,50.0,,,50.0,,,5.36,80.21,25.0,,66.67,45.45,99.4,37.95,60.31,27.69,14,POLARIZING
Chris Olave,WR,NO,28.638472,33.0,91.99,91.35,91.99,71.65,15.14,91.99,81.58,62.6,64.05,,65.45,58.11,7.43,,33.74,,7.62,60.93,86.63,21.78,59.06,29.78,17,POLARIZING; MAN-BEATER
Tee Higgins,WR,CIN,35.447487,34.0,89.42,90.71,86.22,74.29,40.49,86.22,81.58,79.27,17.77,,68.7,0.68,50.0,,44.31,,15.89,77.48,68.81,82.67,62.03,27.76,17,POLARIZING; MAN-BEATER
