name,team,pos,posrk,ff_pt,g,p_att,comp,p_yds,p_td,int,sk,carry,ru_yds,ru_td,targ,rec,re_yd,re_td,car_pct,targ_pct,dk_season,dk_pg
Josh Allen,BUF,QB,1.0,369.0,17.0,509.0,340.0,3945.0,26.0,12.0,36.0,116.0,579.0,12.0,0.0,0.0,0.0,0.0,,,379.70000000000005,22.335294117647063
Jahmyr Gibbs,DET,RB,1.0,365.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,1373.0,14.0,86.0,68.0,547.0,3.0,61.0,16.0,362.0,21.294117647058822
Puka Nacua,LAR,WR,1.0,357.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,106.0,1.0,174.0,123.0,1590.0,10.0,4.0,31.0,358.6,21.094117647058823
Christian McCaffrey,SF,RB,3.0,350.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,1149.0,10.0,100.0,80.0,692.0,5.0,63.0,19.0,354.1,20.829411764705885
Bijan Robinson,ATL,RB,2.0,353.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,1371.0,8.0,99.0,76.0,712.0,3.0,66.0,18.0,350.29999999999995,20.605882352941173
Lamar Jackson,BAL,QB,2.0,322.0,17.0,467.0,303.0,3885.0,26.0,10.0,39.0,122.0,670.0,4.0,0.0,0.0,0.0,0.0,,,340.4,20.023529411764706
Drake Maye,NE,QB,4.0,319.0,17.0,520.0,355.0,4095.0,27.0,11.0,47.0,101.0,532.0,4.0,0.0,0.0,0.0,0.0,,,338.0,19.88235294117647
Ja'Marr Chase,CIN,WR,2.0,336.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,172.0,119.0,1507.0,11.0,1.0,30.0,337.80000000000007,19.87058823529412
Jalen Hurts,PHI,QB,3.0,320.0,17.0,499.0,328.0,3779.0,24.0,9.0,39.0,106.0,438.0,9.0,0.0,0.0,0.0,0.0,,,335.96000000000004,19.762352941176474
Jaxon Smith-Njigba,SEA,WR,3.0,327.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,166.0,117.0,1569.0,9.0,1.0,33.0,330.4,19.435294117647057
Jayden Daniels,WAS,QB,5.0,318.0,17.0,520.0,347.0,3854.0,22.0,10.0,39.0,131.0,670.0,5.0,0.0,0.0,0.0,0.0,,,329.15999999999997,19.362352941176468
Amon-Ra St. Brown,DET,WR,4.0,324.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,167.0,118.0,1430.0,10.0,1.0,31.0,322.3,18.958823529411767
Jaxson Dart,NYG,QB,7.0,301.0,17.0,504.0,327.0,3689.0,21.0,10.0,41.0,101.0,553.0,7.0,0.0,0.0,0.0,0.0,,,318.86,18.756470588235295
Joe Burrow,CIN,QB,6.0,304.0,17.0,569.0,385.0,4120.0,33.0,11.0,40.0,52.0,189.0,2.0,0.0,0.0,0.0,0.0,,,316.70000000000005,18.629411764705885
Brock Purdy,SF,QB,10.0,293.0,17.0,530.0,352.0,4181.0,27.0,14.0,34.0,65.0,277.0,4.0,0.0,0.0,0.0,0.0,,,312.94,18.408235294117645
Matthew Stafford,LAR,QB,9.0,293.0,17.0,558.0,356.0,4282.0,35.0,10.0,32.0,27.0,39.0,1.0,0.0,0.0,0.0,0.0,,,311.18,18.30470588235294
Jonathan Taylor,IND,RB,4.0,309.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,1510.0,12.0,58.0,47.0,346.0,1.0,78.0,11.0,310.6,18.27058823529412
Trevor Lawrence,JAX,QB,12.0,287.0,17.0,560.0,347.0,3929.0,25.0,13.0,38.0,73.0,334.0,5.0,0.0,0.0,0.0,0.0,,,307.56,18.091764705882355
Bo Nix,DEN,QB,8.0,295.0,17.0,565.0,364.0,3871.0,26.0,11.0,27.0,82.0,355.0,4.0,0.0,0.0,0.0,0.0,,,307.34000000000003,18.078823529411768
Dak Prescott,DAL,QB,13.0,286.0,17.0,556.0,372.0,4112.0,30.0,12.0,35.0,51.0,186.0,2.0,0.0,0.0,0.0,0.0,,,303.08,17.828235294117647
Patrick Mahomes,KC,QB,11.0,290.0,17.0,551.0,358.0,3993.0,26.0,12.0,34.0,53.0,326.0,3.0,0.0,0.0,0.0,0.0,,,302.32,17.783529411764704
Justin Herbert,LAC,QB,14.0,283.0,17.0,528.0,345.0,3846.0,26.0,11.0,45.0,78.0,406.0,2.0,0.0,0.0,0.0,0.0,,,299.44,17.614117647058823
De'Von Achane,MIA,RB,5.0,298.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,1348.0,5.0,80.0,65.0,511.0,3.0,62.0,16.0,298.9,17.58235294117647
CeeDee Lamb,DAL,WR,5.0,295.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,158.0,104.0,1382.0,9.0,1.0,28.0,297.50000000000006,17.500000000000004
Caleb Williams,CHI,QB,15.0,281.0,17.0,528.0,317.0,3821.0,25.0,10.0,32.0,71.0,382.0,2.0,0.0,0.0,0.0,0.0,,,293.04,17.23764705882353
Justin Jefferson,MIN,WR,6.0,293.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,166.0,111.0,1375.0,7.0,1.0,30.0,291.6,17.15294117647059
Daniel Jones,IND,QB,17.0,267.0,17.0,527.0,349.0,3743.0,20.0,11.0,43.0,73.0,307.0,6.0,0.0,0.0,0.0,0.0,,,285.42,16.789411764705882
Jared Goff,DET,QB,16.0,268.0,17.0,544.0,371.0,4208.0,29.0,10.0,35.0,27.0,49.0,1.0,0.0,0.0,0.0,0.0,,,285.22,16.777647058823533
James Cook,BUF,RB,7.0,279.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1400.0,11.0,46.0,36.0,302.0,2.0,65.0,9.0,284.2,16.71764705882353
Omarion Hampton,LAC,RB,8.0,279.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,1153.0,10.0,69.0,56.0,393.0,2.0,65.0,13.0,282.6,16.623529411764707
Ashton Jeanty,LV,RB,6.0,281.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,1136.0,7.0,87.0,65.0,494.0,2.0,67.0,16.0,282.0,16.58823529411765
Jeremiyah Love,ARI,RB,9.0,279.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,1129.0,7.0,86.0,65.0,489.0,2.0,68.0,15.0,280.8,16.51764705882353
Baker Mayfield,TB,QB,18.0,265.0,17.0,527.0,339.0,3824.0,25.0,12.0,38.0,54.0,323.0,1.0,0.0,0.0,0.0,0.0,,,279.26,16.42705882352941
Breece Hall,NYJ,RB,13.0,273.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,1163.0,8.0,64.0,52.0,436.0,3.0,61.0,12.0,277.9,16.34705882352941
Josh Jacobs,GB,RB,11.0,273.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1237.0,13.0,47.0,36.0,281.0,2.0,67.0,9.0,277.8,16.341176470588238
Tyler Shough,NO,QB,19.0,264.0,17.0,548.0,356.0,3887.0,20.0,11.0,42.0,66.0,284.0,4.0,0.0,0.0,0.0,0.0,,,276.88,16.28705882352941
Jordan Love,GB,QB,20.0,259.0,17.0,531.0,342.0,3993.0,25.0,11.0,29.0,50.0,213.0,1.0,0.0,0.0,0.0,0.0,,,276.02,16.236470588235292
Ken Walker III,KC,RB,14.0,272.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,1233.0,9.0,60.0,48.0,376.0,2.0,67.0,11.0,274.9,16.170588235294115
