name,key,team,pos,g,source,dk_pg,role,pass_att_pg,ypa,comp_rate,pass_td_rate,int_rate,carry_pg,ypc,rush_td_rate,tgt_share,carry_share,cv_tgt,cv_carry,var_src_carry,catch_rate,ypt,rec_td_per_tgt,var_src_tgt
Josh Allen,j.allen,BUF,QB,17.0,clay_6_10,22.335294117647063,QB,29.941176470588236,7.75049115913556,0.6679764243614931,0.05108055009823183,0.023575638506876228,6.823529411764706,4.991379310344827,0.10344827586206896,0.0,0.0,,0.39669706556843193,measured,,,,
Jahmyr Gibbs,j.gibbs,DET,RB,17.0,clay_6_10,21.294117647058822,RB,,,,,,16.647058823529413,4.851590106007067,0.04946996466431095,0.15808823529411764,0.5995762711864406,0.4703489794587737,0.213047908739593,,0.7906976744186046,6.3604651162790695,0.03488372093023256,measured
Puka Nacua,p.nacua,LAR,WR,17.0,clay_6_10,21.094117647058823,WR,,,,,,0.9411764705882353,6.625,0.0625,0.3118279569892473,0.03455723542116631,0.2697043563143705,0.45127135534829493,,0.7068965517241379,9.137931034482758,0.05747126436781609,measured
Christian McCaffrey,c.mccaffrey,SF,RB,17.0,clay_6_10,20.829411764705885,RB,,,,,,16.41176470588235,4.118279569892473,0.035842293906810034,0.18867924528301888,0.5861344537815126,0.3183534198525626,0.16568091482248035,,0.8,6.92,0.05,measured
Bijan Robinson,b.robinson,ATL,RB,17.0,clay_6_10,20.605882352941173,RB,,,,,,16.823529411764707,4.793706293706293,0.027972027972027972,0.1746031746031746,0.6271929824561403,0.4488766778529452,0.3843434793608461,,0.7676767676767676,7.191919191919192,0.030303030303030304,measured
Lamar Jackson,l.jackson,BAL,QB,17.0,clay_6_10,20.023529411764702,QB,27.470588235294116,8.319057815845824,0.6488222698072805,0.055674518201284794,0.021413276231263382,7.176470588235294,5.491803278688525,0.03278688524590164,0.0,0.0,,0.5003420130878292,measured,,,,
Drake Maye,d.maye,NE,QB,17.0,clay_6_10,19.88235294117647,QB,30.58823529411765,7.875,0.6826923076923077,0.051923076923076926,0.021153846153846155,5.9411764705882355,5.267326732673268,0.039603960396039604,0.0,0.0,,0.4025229257820778,measured,,,,
Ja'Marr Chase,j.chase,CIN,WR,17.0,clay_6_10,19.87058823529412,WR,,,,,,0.23529411764705882,5.25,0.0,0.2895622895622896,0.009280742459396751,0.35092995835310553,0.4800125171586246,,0.6918604651162791,8.761627906976743,0.06395348837209303,measured
Jalen Hurts,j.hurts,PHI,QB,17.0,clay_6_10,19.762352941176477,QB,29.352941176470587,7.573146292585171,0.657314629258517,0.04809619238476954,0.018036072144288578,6.235294117647059,4.132075471698113,0.08490566037735849,0.0,0.0,,0.3994837193931754,measured,,,,
Jaxon Smith-Njigba,j.njigba,SEA,WR,17.0,clay_6_10,19.435294117647057,WR,,,,,,0.29411764705882354,5.0,0.0,0.3235867446393762,0.010416666666666666,0.31654622151662715,0.4800125171586246,,0.7048192771084337,9.451807228915662,0.05421686746987952,measured
Jayden Daniels,j.daniels,WAS,QB,17.0,clay_6_10,19.362352941176468,QB,30.58823529411765,7.411538461538462,0.6673076923076923,0.04230769230769231,0.019230769230769232,7.705882352941177,5.114503816793893,0.03816793893129771,0.0,0.0,,0.21154429969314387,measured,,,,
Amon-Ra St. Brown,a.brown,DET,WR,17.0,clay_6_10,18.958823529411767,WR,,,,,,0.11764705882352941,6.5,0.0,0.3069852941176471,0.00423728813559322,0.49169138793461103,0.4800125171586246,,0.7065868263473054,8.562874251497005,0.059880239520958084,archetype
Jaxson Dart,j.dart,NYG,QB,17.0,clay_6_10,18.756470588235292,QB,29.647058823529413,7.319444444444445,0.6488095238095238,0.041666666666666664,0.01984126984126984,5.9411764705882355,5.475247524752476,0.06930693069306931,0.0,0.0,,0.5287531865551214,measured,,,,
Joe Burrow,j.burrow,CIN,QB,17.0,clay_6_10,18.629411764705885,QB,33.470588235294116,7.240773286467487,0.6766256590509666,0.05799648506151142,0.019332161687170474,3.0588235294117645,3.6346153846153846,0.038461538461538464,0.0,0.0,,0.0975030890435742,measured,,,,
Brock Purdy,b.purdy,SF,QB,17.0,clay_6_10,18.408235294117645,QB,31.176470588235293,7.888679245283019,0.6641509433962264,0.0509433962264151,0.026415094339622643,3.823529411764706,4.2615384615384615,0.06153846153846154,0.0,0.0,,0.6059602211870734,measured,,,,
