name,pos,team,n_situations,trend_metric,trend_2024,trend_2025,trend_delta,rec_vs_man,rec_vs_zone,rec_yprr,rec_deep_routes,rec_short_routes,rec_yac,rec_adot,rec_drop,rec_qbr,rec_epa_route_pro,rec_epa_tgt_pro,rec_sep_pro,rec_croe_pro,rec_yacoe_pro,rec_deep,rec_slot,rec_wide,rec_vman_ftn,rec_vzone_ftn,rec_sep,rec_contested,rec_rz,rec_dvoa,rec_success,rec_rz_vol,rec_man_qbr,rb_elusive,rb_breakaway,rb_yco,rb_grade_run,rb_rec_yprr,rb_explosive,rb_inside_zone,rb_outside_zone,rb_gap,rb_mtf_rate,rb_epa_att_pro,rb_ryoe_att_pro,rb_success_pro,rb_yaco_att_pro,rb_rec_epa_pro,rb_rec_sep_pro,qb_btt,qb_twp,qb_acc,qb_grade,qb_p2s,qb_adot,qb_ttt,qb_pressure,qb_pressure_grade,qb_pa,qb_pa_grade,qb_clean,qb_blitz,qb_deep,qb_deep_grade,qb_epa_db_pro,qb_cpoe_pro
,,,,,,,,vs Man coverage (YPRR),vs Zone coverage (YPRR),Overall YPRR,Deep routes (yds/route),Short routes (yds/route),Yards after catch / reception,Avg depth of target (aDOT),Drop rate (lower=better),QB rating when targeted,Rec EPA / route (NFL Pro),Rec EPA / target (NFL Pro),Avg separation (NFL Pro NGS),Catch rate over expected (CROE),YAC over expected / rec (NFL Pro),Deep ball (yds/deep target),From slot (yds/route),Out wide (yds/route),"vs Man (yds/man route, FTN)","vs Zone (yds/zone route, FTN)",Separation (step sep at catch pt),Contested catch rate,Red zone TD rate (TD/target),Overall efficiency (DVOA),Success rate,Red zone targets (volume),vs Man (QB rating when targeted),Elusiveness (PFF elusive rating),Breakaway run rate,Yards after contact / attempt,Rushing grade,Receiving YPRR (as RB),Explosive run rate,Inside zone (yds/carry),Outside zone (yds/carry),Gap/Power scheme (yds/carry),Missed tackles forced /carry,Rush EPA / attempt (NFL Pro),RYOE / attempt (NFL Pro),Rush success rate (NFL Pro),Yards after contact / att (NFL Pro),"Receiving EPA / route (NFL Pro, RB)","Receiving separation (NFL Pro, RB)",Big-time throw rate,Turnover-worthy play rate (lower=better),Accuracy %,Overall passing grade,Pressure-to-sack rate (lower=better),Avg depth of target,Time to throw,Under pressure (YPA),Under pressure (grade),Play-action (YPA),Play-action grade,Clean pocket (YPA),vs Blitz (YPA),Deep ball accuracy %,Deep ball grade,EPA / dropback (NFL Pro),Completion % over expected (CPOE)
Aaron Rodgers,QB,PIT,17,PassGrade,76.1,68.8,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9,75.0,47.2,36.1,27.8,2.8,8.3,38.9,13.9,0.0,16.7,8.8,5.7,48.5,42.4,35.5,35.5
Baker Mayfield,QB,TB,17,PassGrade,83.6,64.8,-18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,13.9,19.4,19.4,63.9,58.3,50.0,50.0,16.7,61.1,61.1,26.5,2.9,27.3,60.6,41.9,32.3
Bo Nix,QB,DEN,17,PassGrade,73.8,76.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,61.1,52.8,69.4,97.2,38.9,44.4,2.8,33.3,19.4,25.0,29.4,22.9,69.7,81.8,61.3,22.6
Brock Purdy,QB,SF,17,PassGrade,76.3,82.6,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,22.2,94.4,86.1,100.0,44.4,94.4,16.7,94.4,44.4,55.6,94.1,54.3,97.0,6.1,90.3,96.8
Bryce Young,QB,CAR,17,PassGrade,75.1,68.2,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,66.7,75.0,30.6,77.8,11.1,47.2,19.4,88.9,41.7,41.7,17.6,14.3,100.0,100.0,12.9,41.9
C.J. Stroud,QB,HOU,17,PassGrade,77.6,62.0,-15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,19.4,2.8,13.9,72.2,61.1,36.1,33.3,5.6,58.3,8.3,67.6,40.0,21.2,51.5,67.7,51.6
Caleb Williams,QB,CHI,17,PassGrade,63.5,72.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,52.8,0.0,50.0,94.4,77.8,97.2,30.6,63.9,55.6,72.2,61.8,57.1,81.8,87.9,58.1,0.0
Cam Ward,QB,TEN,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,25.0,8.3,2.8,8.3,30.6,69.4,11.1,2.8,2.8,27.8,0.0,17.1,15.2,57.6,0.0,9.7
Dak Prescott,QB,DAL,17,PassGrade,67.2,85.4,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,69.4,72.2,91.7,75.0,55.6,30.6,94.4,97.2,77.8,88.9,35.3,97.1,78.8,75.8,83.9,93.5
