name,qual_score,n_sources,n_categories,n_tweets
Ja'Marr Chase,1.0,5,5,8
Puka Nacua,1.0,6,6,8
Amon-Ra St. Brown,1.0,4,4,4
Tee Higgins,1.0,4,4,5
Chris Olave,1.0,3,2,3
Zay Flowers,1.0,3,3,4
Jaxon Smith-Njigba,1.0,4,3,4
Emeka Egbuka,1.0,3,3,3
Chig Okonkwo,1.0,4,3,4
Keaton Mitchell,1.0,4,3,4
Stefon Diggs,1.0,3,2,3
George Pickens,1.0,3,3,4
Jordyn Tyson,1.0,5,3,5
Tyler Shough,1.0,5,3,5
Saquon Barkley,1.0,3,2,3
DeVonta Smith,1.0,5,3,11
Nico Collins,1.0,4,4,4
Christian Watson,1.0,8,4,9
Jonathon Brooks,1.0,3,2,3
Jahmyr Gibbs,1.0,6,5,9
Terry McLaurin,0.776,7,5,8
Bijan Robinson,0.773,7,7,7
Drake London,0.75,5,2,8
De'Von Achane,0.748,5,4,7
Brock Bowers,0.739,5,4,7
Ladd McConkey,0.701,6,5,6
Bhayshul Tuten,0.7,5,4,6
Ashton Jeanty,0.697,6,5,7
Trey McBride,0.67,5,4,7
Kyle Pitts Sr.,0.647,5,3,5
Harold Fannin Jr.,0.61,4,3,4
CeeDee Lamb,0.598,5,5,5
Colston Loveland,0.579,6,5,9
Sam LaPorta,0.574,3,3,4
Zachariah Branch,0.571,3,2,4
Kenneth Gainwell,0.571,4,4,4
Chuba Hubbard,0.571,4,3,4
Luther Burden III,0.559,10,7,13
Parker Washington,0.556,9,7,13
Jayden Daniels,0.549,5,3,5
Travis Hunter,0.527,3,2,4
A.J. Brown,0.522,12,7,25
Christian McCaffrey,0.5,3,3,4
Brock Purdy,0.487,3,3,3
George Kittle,0.487,3,3,3
Malik Nabers,0.48,5,4,7
James Cook III,0.455,3,3,3
Carnell Tate,0.455,3,2,3
Breece Hall,0.435,5,4,5
Derrick Henry,0.423,3,3,3
RJ Harvey,0.42,4,3,6
Rome Odunze,0.42,5,3,7
Isiah Pacheco,0.412,3,3,5
Jaylen Waddle,0.391,6,5,12
Makai Lemon,0.382,5,3,10
J.J. McCarthy,0.381,3,2,3
Tucker Kraft,0.358,4,3,6
Josh Allen,0.343,5,5,5
Davante Adams,0.333,3,3,3
Jaylen Warren,0.333,3,2,3
Tyreek Hill,0.294,3,2,5
Matthew Stafford,0.231,3,3,3
Rashee Rice,0.211,9,5,18
Bucky Irving,0.13,5,5,6
Jaxson Dart,0.069,7,6,8
Rachaad White,-0.091,3,2,3
Patrick Mahomes,-0.126,6,4,7
Chris Rodriguez Jr.,-0.147,4,2,10
Michael Penix Jr.,-0.147,3,3,5
Tory Horton,-0.2,3,2,5
Caleb Williams,-0.216,4,3,5
Jalen Hurts,-0.235,5,3,5
Cam Ward,-0.238,3,2,3
Baker Mayfield,-0.266,6,4,7
Chris Godwin Jr.,-0.294,4,3,5
Keon Coleman,-0.333,3,2,3
Tetairoa McMillan,-0.381,3,3,3
Chris Brooks,-0.381,3,2,3
Michael Wilson,-0.381,3,2,3
Josh Jacobs,-0.447,5,4,7
Jalen McMillan,-0.455,3,2,3
Xavier Worthy,-0.529,4,2,5
Aaron Rodgers,-0.632,4,3,6
MarShawn Lloyd,-0.71,4,3,6
Cam Skattebo,-0.769,5,4,8
Quinshon Judkins,-1.0,3,3,4
