rank,pos,posrank,name,team,adp,edge_vs_adp,proj_pg,ceiling_pct,consensus,flags_total,flags_playoff,avail,adj_proj_pg,model_flags,upside
1,RB,1,Jahmyr Gibbs,DET,1.2,0,21.3,40,76,0,0,1.0,21.3,POLARIZING; FLOOR RISK,
2,RB,2,Bijan Robinson,ATL,2.1,0,20.6,48,74,0,0,1.0,20.6,CONSENSUS STUD; POLARIZING,
3,WR,1,Puka Nacua,LAR,3.9,1,21.1,55,83,0,0,1.0,21.1,CONSENSUS STUD; POLARIZING,volume man
4,WR,2,Ja'Marr Chase,CIN,3.1,-1,19.9,57,67,0,0,1.0,19.9,CONSENSUS STUD; POLARIZING,route volume
5,WR,3,Jaxon Smith-Njigba,SEA,5.4,0,19.4,51,73,0,0,1.0,19.4,CONSENSUS STUD; POLARIZING,route man
6,RB,3,Christian McCaffrey,SF,6.3,0,20.8,53,56,0,0,1.0,20.8,POLARIZING; EFFICIENCY TRAP,
7,WR,4,Amon-Ra St. Brown,DET,7.2,0,19.0,45,67,0,0,1.0,19.0,POLARIZING,man volume
8,RB,4,Jonathan Taylor,IND,8.4,0,18.3,34,71,1,1,1.0,18.3,POLARIZING; RB-GAP-SCHEME,
9,WR,5,Justin Jefferson,MIN,9.0,0,17.2,32,59,0,0,1.0,17.2,POLARIZING; EFFICIENCY TRAP,route volume
10,RB,5,James Cook III,BUF,11.1,1,16.7,38,69,0,0,1.0,16.7,POLARIZING,
11,WR,6,CeeDee Lamb,DAL,10.4,-1,17.5,36,65,0,0,1.0,17.5,POLARIZING,volume route
12,RB,6,Ashton Jeanty,LV,12.1,0,16.6,20,52,1,1,1.0,16.6,POLARIZING; EFFICIENCY TRAP,
13,RB,7,Saquon Barkley,PHI,13.4,0,16.1,30,66,1,1,1.0,16.1,POLARIZING; EFFICIENCY TRAP,
14,RB,8,Chase Brown,CIN,16.9,2,16.0,26,61,0,0,1.0,16.0,POLARIZING,
15,RB,9,Omarion Hampton,LAC,15.5,0,16.6,22,56,0,0,1.0,16.6,POLARIZING,
16,WR,7,Drake London,ATL,17.4,1,15.9,31,66,0,0,1.0,15.9,POLARIZING; ZONE-BEATER,volume route
17,RB,10,Kenneth Walker III,KC,14.8,-3,16.2,13,55,1,1,1.0,16.2,POLARIZING; EMPTY CALORIES,
18,RB,11,De'Von Achane,MIA,19.1,1,17.6,31,67,0,0,1.0,17.6,POLARIZING,
19,WR,8,A.J. Brown,NE,17.7,-1,14.7,43,59,0,0,1.0,14.7,POLARIZING,man route
20,TE,1,Brock Bowers,LV,20.0,0,14.2,31,65,1,0,1.0,14.2,POLARIZING; FLOOR RISK,route volume
21,RB,12,Derrick Henry,BAL,20.3,0,16.1,36,70,0,0,1.0,16.1,POLARIZING,
22,TE,2,Trey McBride,ARI,24.2,1,15.0,46,66,0,0,1.0,15.0,POLARIZING,route volume
23,WR,9,Nico Collins,HOU,22.6,-1,14.8,37,67,1,1,1.0,14.8,POLARIZING,route volume
24,WR,10,Rashee Rice,KC,25.1,1,16.1,45,55,1,1,1.0,16.1,POLARIZING; FLOOR RISK,volume route
25,WR,11,George Pickens,DAL,24.3,-1,14.1,26,68,0,0,1.0,14.1,POLARIZING; MAN-BEATER,route man
26,QB,1,Josh Allen,BUF,27.0,0,22.3,26,76,1,1,1.0,22.3,POLARIZING; QB-ZONE-BEATER,
27,WR,12,DeVonta Smith,PHI,28.1,1,14.0,23,67,0,0,1.0,14.0,POLARIZING; ZONE-BEATER,route slot
28,RB,13,Jeremiyah Love,ARI,27.3,-1,16.5,20,67,0,0,1.0,16.5,POLARIZING,
29,WR,13,Chris Olave,NO,28.6,0,14.2,31,59,0,0,1.0,14.2,POLARIZING; MAN-BEATER,volume route
30,RB,14,Kyren Williams,LAR,30.1,0,14.5,18,65,0,0,1.0,14.5,POLARIZING,
31,RB,15,Breece Hall,NYJ,31.9,0,16.3,19,61,0,0,1.0,16.3,POLARIZING; RB-ZONE-SCHEME,
32,WR,14,Zay Flowers,BAL,32.1,0,14.2,28,80,1,0,1.0,14.2,,route volume
33,WR,15,Emeka Egbuka,TB,32.6,0,12.8,24,56,0,0,1.0,12.8,POLARIZING; ZONE-BEATER,
34,WR,16,Tee Higgins,CIN,35.4,1,12.7,24,62,0,0,1.0,12.7,POLARIZING; MAN-BEATER,man route
35,WR,17,Ladd McConkey,LAC,34.7,-1,12.9,23,58,0,0,1.0,12.9,POLARIZING,slot route
36,WR,18,Malik Nabers,NYG,37.6,1,14.7,31,64,1,0,0.88,12.9,POLARIZING; ZONE-BEATER,volume man
37,WR,19,Garrett Wilson,NYJ,39.0,2,15.0,29,48,0,0,1.0,15.0,POLARIZING; MAN-BEATER,volume man
38,TE,3,Colston Loveland,CHI,39.8,2,12.1,22,71,0,0,1.0,12.1,POLARIZING,man
39,RB,16,Travis Etienne Jr.,NO,36.6,-3,14.3,8,55,0,0,1.0,14.3,POLARIZING,
40,RB,17,Javonte Williams,DAL,38.2,-2,15.4,12,60,0,0,1.0,15.4,POLARIZING,
41,RB,18,Josh Jacobs,GB,43.5,2,16.3,20,54,0,0,1.0,16.3,POLARIZING; EFFICIENCY TRAP,
42,WR,20,Terry McLaurin,WAS,45.2,3,13.0,29,58,2,1,1.0,13.0,POLARIZING; ZONE-BEATER,route volume
43,RB,19,Cam Skattebo,NYG,44.0,1,14.4,20,56,0,0,1.0,14.4,POLARIZING; EMPTY CALORIES,
44,WR,21,Tetairoa McMillan,CAR,42.9,-2,14.0,9,57,0,0,1.0,14.0,POLARIZING; ZONE-BEATER,man
45,WR,22,Luther Burden III,CHI,41.9,-4,12.0,13,68,0,0,1.0,12.0,POLARIZING; MAN-BEATER,man
46,WR,23,Davante Adams,LAR,47.2,1,13.9,33,58,0,0,1.0,13.9,POLARIZING,volume man
47,WR,24,DJ Moore,BUF,46.3,-1,12.2,24,56,1,1,1.0,12.2,POLARIZING; MAN-BEATER,volume
48,WR,25,Mike Evans,SF,50.5,2,10.8,32,58,1,1,1.0,10.8,POLARIZING; MAN-BEATER,volume man
49,WR,26,Jaylen Waddle,DEN,47.4,-1,12.5,12,62,0,0,1.0,12.5,POLARIZING,route volume
50,RB,20,D'Andre Swift,CHI,51.1,1,12.4,15,69,0,0,1.0,12.4,POLARIZING; RB-ZONE-SCHEME,
51,WR,27,Jameson Williams,DET,52.6,1,12.6,28,66,0,0,1.0,12.6,POLARIZING,man route
52,QB,2,Lamar Jackson,BAL,53.3,1,20.0,30,75,1,0,1.0,20.0,POLARIZING; FLOOR RISK,man
53,WR,28,Christian Watson,GB,54.8,1,10.9,20,70,1,0,1.0,10.9,POLARIZING; ZONE-BEATER,route man
54,RB,21,David Montgomery,HOU,49.9,-5,11.5,11,55,0,0,1.0,11.5,POLARIZING; RB-GAP-SCHEME,
55,RB,22,Bhayshul Tuten,JAX,55.5,1,12.1,20,61,0,0,1.0,12.1,POLARIZING; EMPTY CALORIES,
56,RB,23,TreVeyon Henderson,NE,57.3,1,12.5,20,64,1,1,1.0,12.5,,
57,WR,29,Rome Odunze,CHI,58.6,1,12.4,19,60,0,0,1.0,12.4,POLARIZING; EMPTY CALORIES,volume route
58,RB,24,Bucky Irving,TB,59.7,2,13.2,16,47,0,0,1.0,13.2,POLARIZING; EMPTY CALORIES,
59,QB,3,Joe Burrow,CIN,59.1,0,18.6,28,64,0,0,1.0,18.6,MARKET DARLING; POLARIZING,man
60,RB,25,Quinshon Judkins,CLE,55.4,-5,13.3,9,46,1,1,1.0,13.3,POLARIZING; EMPTY CALORIES,
61,TE,4,Tyler Warren,IND,61.3,0,12.1,23,56,0,0,1.0,12.1,POLARIZING; EMPTY CALORIES,
62,WR,30,Brian Thomas Jr.,JAX,62.9,1,10.3,23,55,0,0,1.0,10.3,EMPTY CALORIES,route volume
63,QB,4,Drake Maye,NE,65.5,2,19.9,16,78,0,0,1.0,19.9,CONSENSUS STUD; POLARIZING,man
64,WR,31,Parker Washington,JAX,64.1,0,10.8,17,60,0,0,1.0,10.8,,route slot
65,WR,32,Carnell Tate,TEN,62.7,-3,12.6,15,66,0,0,1.0,12.6,POLARIZING,
66,WR,33,Marvin Harrison Jr.,ARI,67.8,1,11.4,13,60,0,0,1.0,11.4,,man route
67,RB,26,Jadarian Price,SEA,65.6,-1,11.4,20,67,0,0,1.0,11.4,,
68,QB,5,Jayden Daniels,WAS,69.3,1,19.4,25,63,2,1,1.0,19.4,POLARIZING; FLOOR RISK,
69,QB,6,Caleb Williams,CHI,70.3,1,17.2,20,63,0,0,1.0,17.2,MARKET DARLING; POLARIZING,man
70,WR,34,Quentin Johnston,LAC,72.2,2,9.8,23,55,0,0,1.0,9.8,POLARIZING,route volume
71,WR,35,Jordyn Tyson,NO,69.2,-3,11.1,11,62,0,0,1.0,11.1,POLARIZING,
72,WR,36,DK Metcalf,PIT,74.5,1,11.5,15,65,2,1,1.0,11.5,POLARIZING,route volume
73,RB,27,Rhamondre Stevenson,NE,76.1,3,11.5,14,56,1,1,1.0,11.5,FLOOR RISK,
74,QB,7,Jalen Hurts,PHI,75.9,1,19.8,22,61,0,0,1.0,19.8,POLARIZING,man
75,RB,28,Chuba Hubbard,CAR,75.8,-1,10.6,16,51,0,0,1.0,10.6,POLARIZING; EMPTY CALORIES,
76,TE,5,Tucker Kraft,GB,77.8,2,9.5,27,65,1,0,0.97,9.2,POLARIZING; MAN-BEATER,route man
77,RB,29,Tony Pollard,TEN,71.7,-6,11.3,6,45,0,0,1.0,11.3,POLARIZING; EMPTY CALORIES,
78,QB,8,Dak Prescott,DAL,79.6,1,17.8,20,78,0,0,1.0,17.8,CONSENSUS STUD,
79,WR,37,Alec Pierce,IND,80.2,1,11.8,17,69,0,0,1.0,11.8,POLARIZING,route
80,RB,30,Jaylen Warren,PIT,77.3,-3,11.0,8,59,0,0,1.0,11.0,POLARIZING,
81,WR,38,Courtland Sutton,DEN,82.6,1,12.1,22,62,0,0,1.0,12.1,POLARIZING,man volume
82,QB,9,Justin Herbert,LAC,81.9,-1,17.6,18,59,0,0,1.0,17.6,POLARIZING,
83,WR,39,Michael Wilson,ARI,83.4,0,9.8,25,49,0,0,1.0,9.8,FLOOR RISK,
84,WR,40,Chris Godwin Jr.,TB,84.8,1,9.4,22,60,1,1,1.0,9.4,POLARIZING,volume route
85,QB,10,Trevor Lawrence,JAX,84.7,-1,18.1,15,65,0,0,1.0,18.1,,
86,QB,11,Matthew Stafford,LAR,89.3,2,18.3,23,85,0,0,1.0,18.3,MARKET FADE,man
87,RB,31,RJ Harvey,DEN,85.7,-1,10.0,24,51,1,1,1.0,10.0,POLARIZING; EFFICIENCY TRAP,
88,TE,6,Sam LaPorta,DET,92.2,4,11.0,26,63,0,0,1.0,11.0,POLARIZING; ZONE-BEATER,man route
89,WR,41,Makai Lemon,PHI,87.6,-2,10.6,12,62,0,0,1.0,10.6,,
90,TE,7,Kyle Pitts Sr.,ATL,90.6,0,10.8,14,68,0,0,1.0,10.8,POLARIZING; MAN-BEATER,route volume
91,RB,32,Rico Dowdle,PIT,89.8,-2,10.8,12,54,0,0,1.0,10.8,,
92,QB,12,Patrick Mahomes,KC,92.9,1,17.8,25,66,1,1,1.0,17.8,,
93,WR,42,Jayden Reed,GB,91.8,-2,9.8,12,61,0,0,1.0,9.8,,slot route
94,QB,13,Brock Purdy,SF,97.3,3,18.4,27,77,1,1,1.0,18.4,MARKET FADE; CONSENSUS STUD,man
95,RB,33,Kenneth Gainwell,TB,94.8,-1,10.0,18,61,0,0,1.0,10.0,RB-ZONE-SCHEME,
96,WR,43,Michael Pittman Jr.,PIT,95.8,-1,11.6,14,59,0,0,1.0,11.6,ZONE-BEATER,volume route
97,WR,44,Jordan Addison,MIN,99.4,2,9.9,16,53,0,0,1.0,9.9,EMPTY CALORIES,route volume
98,WR,45,Josh Downs,IND,96.3,-2,9.8,8,50,0,0,1.0,9.8,EMPTY CALORIES; EFFICIENCY TRAP,slot volume
99,RB,34,Kyle Monangai,CHI,98.7,-1,10.1,19,64,0,0,1.0,10.1,EMPTY CALORIES,
100,TE,8,Harold Fannin Jr.,CLE,100.5,0,10.9,20,61,0,0,1.0,10.9,POLARIZING; FLOOR RISK,man
101,TE,9,George Kittle,SF,104.7,4,12.7,46,72,2,1,0.88,11.2,MARKET FADE; POLARIZING,route man
102,QB,14,Jaxson Dart,NYG,101.9,0,18.8,22,61,0,0,1.0,18.8,MARKET FADE; POLARIZING,
103,QB,15,Jared Goff,DET,104.0,1,16.8,27,69,0,0,1.0,16.8,POLARIZING,man
104,RB,35,Blake Corum,LAR,103.5,-1,9.1,19,68,0,0,1.0,9.1,EFFICIENCY EDGE,
105,RB,36,Jonathon Brooks,CAR,100.7,-4,8.7,19,62,2,0,1.0,8.7,,
106,WR,46,Ricky Pearsall,SF,105.5,0,9.8,13,54,1,1,1.0,9.8,POLARIZING; MAN-BEATER,route
107,RB,37,J.K. Dobbins,DEN,107.2,0,10.4,19,68,1,1,1.0,10.4,EFFICIENCY EDGE; RB-ZONE-SCHEME,
108,WR,47,Wan'Dale Robinson,TEN,107.8,0,10.3,12,60,0,0,1.0,10.3,FLOOR RISK,slot volume
109,WR,48,Jakobi Meyers,JAX,110.3,1,10.6,13,63,0,0,1.0,10.6,EFFICIENCY EDGE; MAN-BEATER,volume route
110,WR,49,Xavier Worthy,KC,108.7,-1,10.4,8,54,1,1,1.0,10.4,POLARIZING; EFFICIENCY EDGE,volume
111,QB,16,Jordan Love,GB,112.1,1,16.2,14,68,1,0,1.0,16.2,,man
112,TE,10,Dalton Kincaid,BUF,114.1,3,9.0,14,69,1,1,1.0,9.0,POLARIZING; ZONE-BEATER,route volume
