"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","PAA Per Play","Positive%"
"[object Object]","2025","David Bailey","Texas Tech","LB","375","354","62.91","0.178","50.98","0.144","32.0%"
"[object Object]","2025","Caden Curry","Ohio State","DE","338","285","44.74","0.157","33.11","0.116","31.4%"
"[object Object]","2025","John Henry Daley","Utah","DE","278","265","43.03","0.162","34.31","0.129","34.2%"
"[object Object]","2025","Akheem Mesidor","Miami FL","DE","491","419","39.12","0.093","23.68","0.057","34.0%"
"[object Object]","2025","Matayo Uiagalelei","Oregon","DE","373","361","37.03","0.103","23.64","0.065","35.7%"
"[object Object]","2025","Nadame Tucker","Western Michigan","LB","313","300","36.56","0.122","25.06","0.084","35.0%"
"[object Object]","2025","Rueben Bain Jr.","Miami FL","DE","535","528","36.42","0.069","16.76","0.032","40.3%"
"[object Object]","2025","Derrick Moore","Michigan","LB","234","213","36.10","0.169","28.66","0.135","35.7%"
"[object Object]","2025","Adam Trick","Miami OH","DE","382","379","35.64","0.094","22.69","0.060","41.0%"
"[object Object]","2025","Zion Young","Missouri","DE","309","302","33.79","0.112","22.58","0.075","37.3%"
"[object Object]","2025","Cashius Howell","Texas A&M","LB","329","265","33.46","0.126","23.59","0.089","26.8%"
"[object Object]","2025","Max Llewellyn","Iowa","DE","300","286","32.57","0.114","21.81","0.076","35.7%"
"[object Object]","2025","Michael Heldman","Central Michigan","DE","302","302","31.85","0.105","21.17","0.070","37.6%"
"[object Object]","2025","Mitchell Melton","Virginia","DE","322","292","30.45","0.104","19.83","0.068","33.4%"
"[object Object]","2025","Romello Height","Texas Tech","LB","372","322","29.71","0.092","18.52","0.058","29.7%"
"[object Object]","2025","Teitum Tuioti","Oregon","LB","352","309","29.62","0.096","17.99","0.058","31.5%"
"[object Object]","2025","Colin Simmons","Texas","LB","378","305","28.21","0.092","18.33","0.060","33.8%"
"[object Object]","2025","Keyshawn James-Newby","New Mexico","DE","371","358","27.12","0.076","14.29","0.040","44.6%"
"[object Object]","2025","AJ Holmes Jr.","Texas Tech","DT","323","322","26.79","0.083","15.82","0.049","36.6%"
"[object Object]","2025","Clev Lubin","Louisville","DE","346","289","26.65","0.092","16.39","0.057","33.6%"
"[object Object]","2025","Damon Wilson II","Missouri","DE","301","291","26.08","0.090","15.22","0.052","35.4%"
"[object Object]","2025","Finn Claypool","Fresno State","DE","295","270","25.97","0.096","16.05","0.059","31.4%"
"[object Object]","2025","Nathan Voorhis","Ball State","LB","304","301","24.74","0.082","14.61","0.049","45.1%"
"[object Object]","2025","Sahir West","James Madison","DE","314","309","24.07","0.078","12.11","0.039","33.3%"
"[object Object]","2025","Dani Dennis-Sutton","Penn State","DE","329","306","24.05","0.079","13.23","0.043","41.1%"
"[object Object]","2025","Mason Reiger","Wisconsin","DE","303","285","23.79","0.083","13.41","0.047","45.9%"
"[object Object]","2025","Will Heldt","Clemson","DE","353","327","23.62","0.072","12.21","0.037","34.8%"
"[object Object]","2025","Quincy Rhodes Jr.","Arkansas","DE","301","298","23.31","0.078","13.67","0.046","49.7%"
"[object Object]","2025","Malachi Lawrence","UCF","DE","241","221","23.25","0.105","15.82","0.072","35.5%"
"[object Object]","2025","Ezra Christensen","New Mexico State","DT","259","255","22.95","0.090","14.54","0.057","44.8%"
"[object Object]","2025","Dayon Hayes","Texas A&M","DE","222","219","22.83","0.104","14.82","0.068","35.0%"
"[object Object]","2025","Demarcus Hendricks","Arkansas State","DE","241","227","22.70","0.100","15.31","0.067","41.3%"
"[object Object]","2025","Daniel Rickert","Virginia","DE","298","249","22.68","0.091","13.48","0.054","30.4%"
"[object Object]","2025","Santana Hopper","Tulane","DE","356","353","22.14","0.063","10.06","0.028","50.3%"
"[object Object]","2025","Sidney Stewart","Maryland","DE","296","239","21.94","0.092","14.35","0.060","30.4%"
"[object Object]","2025","Gracen Halton","Oklahoma","DT","239","235","21.81","0.093","13.54","0.058","36.0%"
"[object Object]","2025","Zuriah Fisher","Penn State","DE","218","208","21.67","0.104","14.53","0.070","44.0%"
