"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Harold Fannin Jr.","Bowling Green","TE","155","41.11","0.105","32.37","0.083","82.91","0.535","60.0%","38.1%","11.0%"
"[object Object]","2024","Xavier Restrepo","Miami FL","WR","96","38.15","0.099","29.72","0.077","56.88","0.593","56.3%","44.8%","8.3%"
"[object Object]","2024","Andrew Armstrong","Arkansas","WR","121","36.46","0.094","27.81","0.072","37.01","0.306","58.7%","39.7%","11.6%"
"[object Object]","2024","Jeremiah Smith","Ohio State","WR","105","36.36","0.097","26.18","0.070","75.80","0.722","59.0%","43.8%","11.4%"
"[object Object]","2024","Jack Bech","TCU","WR","93","34.51","0.093","26.28","0.071","66.51","0.715","59.1%","38.7%","9.7%"
"[object Object]","2024","Pat Bryant","Illinois","WR","83","34.10","0.109","26.13","0.084","58.93","0.710","59.0%","45.8%","10.8%"
"[object Object]","2024","Coleman Owen","Ohio","WR","120","33.84","0.092","24.57","0.067","48.32","0.403","55.8%","38.3%","15.8%"
"[object Object]","2024","Theo Wease Jr.","Missouri","WR","98","33.62","0.104","26.41","0.082","38.69","0.395","51.0%","37.8%","17.3%"
"[object Object]","2024","Travis Hunter","Colorado","CB","125","30.79","0.069","20.22","0.045","66.37","0.531","55.2%","33.6%","15.2%"
"[object Object]","2024","Tetairoa McMillan","Arizona","WR","134","30.65","0.073","20.92","0.050","55.21","0.412","53.0%","34.3%","19.4%"
"[object Object]","2024","Javon Tracy","Miami OH","WR","88","28.69","0.076","18.17","0.048","38.09","0.433","55.7%","40.9%","19.3%"
"[object Object]","2024","Jayden Higgins","Iowa State","WR","136","28.54","0.067","18.79","0.044","56.96","0.419","55.1%","40.4%","15.4%"
"[object Object]","2024","Eli Stowers","Vanderbilt","TE","74","28.46","0.111","21.53","0.084","31.88","0.431","55.4%","39.2%","20.3%"
"[object Object]","2024","Matthew Golden","Texas","WR","85","28.42","0.069","18.81","0.046","54.90","0.646","54.1%","40.0%","14.1%"
"[object Object]","2024","Gunnar Helm","Texas","TE","76","28.33","0.077","19.49","0.053","48.63","0.640","59.2%","39.5%","10.5%"
"[object Object]","2024","Kyren Lacy","LSU","WR","103","28.14","0.066","18.86","0.044","33.18","0.322","51.5%","35.9%","17.5%"
"[object Object]","2024","KeAndre Lambert-Smith","Auburn","WR","82","27.87","0.081","19.51","0.057","33.75","0.412","52.4%","40.2%","18.3%"
"[object Object]","2024","Denzel Boston","Washington","WR","102","26.46","0.065","16.57","0.041","17.25","0.169","52.0%","36.3%","15.7%"
"[object Object]","2024","Emeka Egbuka","Ohio State","WR","108","26.19","0.071","16.31","0.044","43.57","0.403","61.1%","35.2%","15.7%"
"[object Object]","2024","Elijah Sarratt","Indiana","WR","86","26.09","0.087","18.54","0.062","51.83","0.603","60.5%","45.3%","16.3%"
"[object Object]","2024","Mario Williams","Tulane","WR","93","25.38","0.088","17.91","0.062","53.13","0.571","58.1%","41.9%","11.8%"
"[object Object]","2024","Kevin Coleman Jr.","Mississippi State","WR","106","25.31","0.066","16.27","0.042","44.29","0.418","54.7%","35.8%","20.8%"
"[object Object]","2024","Antonio Williams","Clemson","WR","100","24.82","0.061","15.64","0.038","49.10","0.491","56.0%","37.0%","12.0%"
"[object Object]","2024","Terrance Carter Jr.","Louisiana","TE","67","24.33","0.093","17.38","0.066","40.76","0.608","62.7%","41.8%","7.5%"
"[object Object]","2024","Aaron Anderson","LSU","WR","89","24.31","0.064","15.87","0.042","30.50","0.343","48.3%","30.3%","14.6%"
"[object Object]","2024","Cayden Lee","Ole Miss","WR","73","23.85","0.061","15.04","0.038","59.81","0.819","68.5%","47.9%","9.6%"
"[object Object]","2024","Ted Hurst","Georgia State","WR","102","23.65","0.058","14.32","0.035","20.88","0.205","46.1%","31.4%","20.6%"
"[object Object]","2024","Tyler Warren","Penn State","TE","135","23.20","0.056","12.95","0.031","69.99","0.518","62.2%","39.3%","7.4%"
"[object Object]","2024","Chris Bell","Louisville","WR","67","23.02","0.060","13.49","0.035","41.96","0.626","61.2%","38.8%","16.4%"
"[object Object]","2024","Tai Felton","Maryland","WR","149","22.84","0.052","13.89","0.032","31.43","0.211","48.3%","30.2%","17.4%"
"[object Object]","2024","Elic Ayomanor","Stanford","WR","112","22.78","0.055","13.49","0.033","15.58","0.139","48.2%","27.7%","16.1%"
"[object Object]","2024","Darius Lassiter","BYU","WR","97","22.41","0.082","15.62","0.057","6.93","0.071","35.1%","24.7%","17.5%"
"[object Object]","2024","LaJohntay Wester","Colorado","WR","93","22.30","0.050","11.07","0.025","55.43","0.596","59.1%","37.6%","14.0%"
"[object Object]","2024","Tez Johnson","Oregon","WR","102","22.27","0.069","15.02","0.046","50.13","0.491","62.7%","39.2%","10.8%"
"[object Object]","2024","Jackson Meeks","Syracuse","WR","114","22.15","0.053","13.66","0.033","68.67","0.602","62.3%","42.1%","9.6%"
"[object Object]","2024","Holden Willis","Middle Tennessee","TE","85","22.05","0.063","13.03","0.037","32.03","0.377","54.1%","41.2%","21.2%"
"[object Object]","2024","Dante Wright","Temple","WR","88","22.03","0.096","17.13","0.074","27.48","0.312","51.1%","37.5%","18.2%"
