"Rank","Season","Player","Team","Pos.","Snaps","Rush Snaps","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%"
"[object Object]","2025","Robert Fitzgerald","Northwestern","S","710","340","43.95","0.129","30.09","0.088","45.3%"
"[object Object]","2025","Tahj Ra-El","Purdue","S","735","377","42.87","0.114","29.20","0.077","48.3%"
"[object Object]","2025","Rasheem Biles","Pittsburgh","LB","649","305","34.80","0.114","24.23","0.079","38.7%"
"[object Object]","2025","Amare Campbell","Penn State","LB","746","358","33.97","0.095","20.61","0.058","46.4%"
"[object Object]","2025","Bryce Boettcher","Oregon","LB","755","367","33.73","0.092","19.08","0.052","42.0%"
"[object Object]","2025","Gideon ESPN Lampron","Bowling Green","LB","719","354","33.53","0.095","19.41","0.055","42.1%"
"[object Object]","2025","Sam Brumfield","Memphis","LB","684","331","32.82","0.099","20.62","0.062","37.8%"
"[object Object]","2025","JonJon Vaughns","UCLA","LB","572","332","32.52","0.098","20.45","0.062","48.8%"
"[object Object]","2025","Baron Hopson","Kennesaw State","LB","729","381","32.32","0.085","18.53","0.049","43.6%"
"[object Object]","2025","Eli Blakey","Miami OH","S","876","388","32.28","0.083","17.86","0.046","41.5%"
"[object Object]","2025","Jacob Rodriguez","Texas Tech","LB","741","282","31.17","0.111","20.54","0.073","30.5%"
"[object Object]","2025","Suntarine Perkins","Ole Miss","LB","722","302","31.01","0.103","19.93","0.066","46.0%"
"[object Object]","2025","Justin Meyers","Georgia Southern","S","648","318","30.82","0.097","19.73","0.062","52.8%"
"[object Object]","2025","Jaxton Eck","New Mexico","LB","735","318","30.05","0.095","18.07","0.057","41.5%"
"[object Object]","2025","Red Murdock","Buffalo","LB","816","409","29.53","0.072","15.53","0.038","41.1%"
"[object Object]","2025","Caden Fordham","NC State","LB","786","315","29.29","0.093","18.13","0.058","43.2%"
"[object Object]","2025","Alex McLaughlin","Washington","S","807","331","28.94","0.087","16.79","0.051","41.7%"
"[object Object]","2025","Keaton Thomas","Baylor","LB","764","404","28.72","0.071","14.99","0.037","46.0%"
"[object Object]","2025","Devin Lafayette","Troy","S","885","448","28.38","0.063","11.81","0.026","44.2%"
"[object Object]","2025","Dylan Labarbera","Nevada","LB","639","291","27.99","0.096","17.19","0.059","43.0%"
"[object Object]","2025","Devyn Bobby","Baylor","S","777","409","27.90","0.068","13.78","0.034","45.7%"
"[object Object]","2025","Maverick Baranowski","Minnesota","LB","645","301","27.85","0.093","16.05","0.053","44.9%"
"[object Object]","2025","Owen Long","Colorado State","LB","737","394","27.22","0.069","13.27","0.034","44.2%"
"[object Object]","2025","Ethan Wesloski","North Texas","LB","785","452","27.22","0.060","11.54","0.026","49.8%"
