round,player,pos,team
1,Laiatu Latu,DL,IND
1,Byron Murphy,DL,SEA
1,Dallas Turner,LB,MIN
1,Jared Verse,DL,LAR
1,Chop Robinson,DE,MIA
1,Quinyon Mitchell,CB,PHI
1,Terrion Arnold,DB,DET
1,Darius Robinson,DL,ARI
1,Nate Wiggins,CB,BAL
2,Ruke Orhorhoro,DT,ATL
2,Jer'Zhan Newton,DL,WAS
2,T'Vondre Sweat,DL,TEN
2,Braden Fiske,DL,LAR
2,Cooper DeJean,DB,PHI
2,Kool-Aid McKinstry,DB,NO
2,Kamari Lassiter,DB,HOU
2,Max Melton,DB,ARI
2,Edgerrin Cooper,LB,GB
2,Tyler Nubin,DB,NYG
2,Maason Smith,DT,JAX
2,Kris Jenkins,DL,CIN
2,Mike Sainristil,DB,WAS
2,Michael Hall,DT,CLE
2,Marshawn Kneeland,DL,DAL
2,Chris Braswell,LB,TB
2,Javon Bullard,DB,GB
2,Cole Bishop,SAF,BUF
2,Ennis Rakestraw,DB,DET
2,Renardo Green,DB,SF
3,Junior Colson,LB,LAC
3,Andru Phillips,DB,NYG
3,Trevin Wallace,LB,CAR
3,Bralen Trice,DE,ATL
3,Jonah Elliss,DE,DEN
3,Calen Bullock,SAF,HOU
3,Marist Liufau,LB,DAL
3,Tykee Smith,DB,TB
3,Elijah Jones,DB,ARI
3,Ty'Ron Hopper,LB,GB
3,Adisa Isaac,DE,BAL
3,Jalyx Hunt,DE,PHI
3,DeWayne Carter,DT,BUF
3,Jarrian Jones,DB,JAX
3,McKinnley Jackson,DL,CIN
3,Payton Wilson,LB,PIT
3,Kamren Kinchens,SAF,LAR
4,Dadrion Taylor-Demerson,DB,ARI
4,Justin Eboigbe,DL,LAC
4,Cedric Gray,LB,TEN
4,Khyree Jackson,DB,MIN
4,Brandon Dorlus,DE,ATL
4,Evan Williams,DB,GB
4,Decamerion Richardson,CB,LV
4,Jordan Jefferson,DT,JAX
4,Tyrice Knight,LB,SEA
4,Malik Mustapha,DB,SF
4,T.J. Tampa,DB,BAL
4,Sione Vaki,SAF,DET
4,Jaden Hicks,DB,KC
5,Nehemiah Pritchett,CB,SEA
5,Tarheeb Still,DB,LAC
5,Xavier Thomas,DE,ARI
5,Jordan Magee,LB,WAS
5,Cam Hart,CB,LAC
5,JD Bertrand,LB,ATL
5,Austin Booker,DL,CHI
5,Kris Abrams-Draine,DB,DEN
5,Jarvis Brownlee,DB,TEN
5,Tommy Eichenberg,LB,LV
5,Josh Newton,CB,CIN
5,Jaylon Carlies,DB,IND
5,Brennan Jackson,DE,LAR
5,Jeremiah Trotter Jr.,LB,PHI
5,Chau Smith-Wade,DB,CAR
5,Mohamed Kamara,DL,MIA
5,Edefuan Ulofoshio,LB,BUF
5,Jaylin Simpson,SAF,IND
5,Javon Solomon,DE,BUF
5,Kitan Oladapo,DB,GB
6,Logan Lee,DL,PIT
6,Marcellas Dial,DB,NE
6,Darius Muasau,LB,NYG
6,Jamal Hill,LB,HOU
6,Mekhi Wingo,DT,DET
6,D.J. James,CB,SEA
6,Ryan Watts,SAF,PIT
6,Tyler Davis,DT,LAR
6,Zion Logue,DL,ATL
6,Patrick McMorris,DB,MIA
6,Khristian Boyd,DL,NO
6,Jaden Crumedy,DT,CAR
6,Micah Abraham,CB,IND
6,Nathaniel Watson,LB,CLE
6,Kamal Hadden,DB,KC
6,Cedric Johnson,DE,CIN
6,Daequan Hardy,CB,BUF
7,Javontae Jean-Baptiste,DL,WAS
7,Trey Taylor,FS,LV
7,Daijahn Anthony,SAF,CIN
7,Jaden Davis,DB,ARI
7,Myles Harden,DB,CLE
7,M.J. Devonshire,DB,LV
7,Jonah Laulu,DL,IND
7,Myles Cole,OLB,JAX
7,Solomon Byrd,DE,HOU
7,Michael Barrett,LB,CAR
7,James Williams,SAF,TEN
7,Jowon Briggs,DE,CLE
7,Justin Rogers,DL,DAL
7,Marcus Harris,DL,HOU
7,Sanoussi Kane,SAF,BAL
7,Tatum Bethune,LB,SF
7,Jaylen Harrell,DE,TEN
7,Kalen King,CB,GB
7,Jaylen Key,SAF,NYJ
