Rank,Season,Player,Team,Pos.,Pass Snaps,Pass Rushes,Points Saved,PS Per Rush,Points Above Avg,PAA Per Rush,Positive%,PAR,WAR
1,2024,Trey Hendrickson,Bengals,DE,514,476,38.48177,0.080844,23.42366,0.049209,45,28.715492,0.897296
2,2024,Jared Verse,Rams,DE,479,449,23.412113,0.052142,8.929817,0.019888,45,13.864292,0.433241
3,2024,Will McDonald IV,Jets,DE,434,410,29.005629,0.070745,15.927573,0.038847,41,20.4679,0.639574
4,2024,Micah Parsons,Cowboys,DE,416,387,32.7401,0.084599,20.144382,0.052052,45,24.358118,0.761143
5,2024,Zach Allen,Broncos,DE,597,586,18.2097,0.031074,-0.149482,-0.000255,42,6.316634,0.197382
6,2024,Myles Garrett,Browns,DE,464,445,37.4982,0.084265,22.869541,0.051392,44,27.377144,0.855474
7,2024,Maxx Crosby,Raiders,DE,438,419,18.69999,0.04463,5.337122,0.012737,50,9.853716,0.307901
8,2024,Jonathan Greenard,Vikings,DE,584,502,36.840054,0.073386,20.92349,0.04168,40,26.45997,0.826809
9,2024,Brian Burns,Giants,LB,476,432,31.316872,0.072492,17.183487,0.039776,44,21.617289,0.675489
10,2024,YaYa Diaby,Buccaneers,DE,512,421,15.045835,0.035738,1.591195,0.003779,41,6.893728,0.215407
11,2024,Osa Odighizuwa,Cowboys,DT,485,483,20.035536,0.041481,4.350847,0.009007,49,10.981435,0.343151
12,2024,Chris Jones,Chiefs,DT,510,506,30.890009,0.061047,13.44075,0.026562,45,21.34109,0.666852
13,2024,T.J. Watt,Steelers,DE,559,527,25.26415,0.047939,7.629362,0.014476,46,13.327914,0.416464
14,2024,Greg Rousseau,Bills,DE,455,436,24.49127,0.056172,10.393285,0.023837,47,15.1003,0.47185
15,2024,Carl Granderson,Saints,DE,511,481,12.356282,0.025688,-2.378674,-0.004945,45,2.810719,0.087828
16,2024,Nick Bosa,49ers,DE,404,397,21.525389,0.05422,8.341517,0.021011,43,12.616528,0.394237
17,2024,Danielle Hunter,Texans,LB,476,469,26.26901,0.05601,11.007713,0.02347,40,15.541974,0.485651
18,2024,Za'Darius Smith,2 teams,LB,410,397,10.747184,0.02707,-2.927667,-0.007374,43,1.158073,0.036188
19,2024,Travon Walker,Jaguars,DE,519,506,17.73612,0.035051,2.269044,0.004484,50,7.325131,0.228899
