"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jared Goff","Lions","334","98.82","0.275","55.41","0.154","91.36","54.0%","80.2","2.5","30.9%","15.3%"
"[object Object]","2025","Drake Maye","Patriots","299","96.83","0.297","57.15","0.175","102.66","57.1%","79.7","2.5","31.9%","15.0%"
"[object Object]","2025","Matthew Stafford","Rams","347","96.76","0.264","53.30","0.145","86.88","54.2%","78.6","2.4","31.3%","14.7%"
"[object Object]","2025","Bo Nix","Broncos","374","91.17","0.234","45.80","0.118","14.33","45.2%","72.6","2.2","20.8%","15.9%"
"[object Object]","2025","Caleb Williams","Bears","353","81.62","0.221","37.91","0.103","19.98","44.7%","63.4","2.0","26.6%","18.4%"
"[object Object]","2025","Patrick Mahomes","Chiefs","228","80.28","0.322","50.83","0.204","37.92","47.8%","68.0","2.1","30.1%","17.7%"
"[object Object]","2025","Jalen Hurts","Eagles","267","78.29","0.271","41.24","0.143","31.52","47.4%","61.2","1.9","24.9%","18.7%"
"[object Object]","2025","Bryce Young","Panthers","288","74.59","0.247","35.96","0.119","22.47","50.0%","56.8","1.8","23.2%","16.9%"
"[object Object]","2025","Dak Prescott","Cowboys","344","71.74","0.200","30.85","0.086","63.16","51.5%","55.6","1.7","28.1%","15.9%"
"[object Object]","2025","C.J. Stroud","Texans","259","67.30","0.247","34.80","0.127","32.47","52.4%","53.7","1.7","27.8%","16.1%"
"[object Object]","2025","Josh Allen","Bills","231","61.27","0.240","31.40","0.123","48.80","51.8%","49.0","1.5","31.0%","16.1%"
"[object Object]","2025","Jordan Love","Packers","246","56.43","0.219","24.68","0.096","60.78","53.5%","42.5","1.3","25.2%","17.1%"
"[object Object]","2025","Joe Flacco","2 teams","228","55.45","0.235","27.92","0.118","-13.46","46.2%","44.2","1.4","22.0%","15.3%"
"[object Object]","2025","Jacoby Brissett","Cardinals","326","54.63","0.154","13.35","0.038","23.88","49.9%","37.9","1.2","25.4%","15.8%"
"[object Object]","2025","Trevor Lawrence","Jaguars","345","53.25","0.144","10.41","0.028","11.24","49.5%","35.9","1.1","24.6%","18.4%"
"[object Object]","2025","Daniel Jones","Colts","244","51.71","0.199","18.89","0.073","56.35","54.6%","36.8","1.1","25.4%","13.1%"
"[object Object]","2025","Tyler Shough","Saints","238","48.83","0.186","17.68","0.067","-16.29","45.4%","35.7","1.1","24.0%","20.2%"
"[object Object]","2025","Baker Mayfield","Buccaneers","300","46.99","0.146","8.40","0.026","26.25","48.0%","30.5","0.9","25.9%","17.1%"
"[object Object]","2025","Mac Jones","49ers","186","44.29","0.225","20.91","0.106","42.69","53.8%","34.5","1.1","27.4%","16.8%"
"[object Object]","2025","Jaxson Dart","Giants","194","44.21","0.205","17.78","0.082","18.76","46.8%","32.7","1.0","26.9%","19.4%"
"[object Object]","2025","Brock Purdy","49ers","175","43.89","0.240","21.69","0.119","23.09","55.2%","34.3","1.1","33.9%","16.9%"
"[object Object]","2025","Sam Darnold","Seahawks","303","40.36","0.125","-0.07","-0.000","43.29","51.9%","22.2","0.7","30.7%","14.9%"
"[object Object]","2025","Kirk Cousins","Falcons","165","40.13","0.233","18.51","0.108","5.96","44.8%","30.4","0.9","23.8%","15.1%"
"[object Object]","2025","Michael Penix Jr.","Falcons","154","37.01","0.227","17.31","0.106","16.47","50.9%","28.6","0.9","30.1%","17.2%"
"[object Object]","2025","Justin Herbert","Chargers","279","33.02","0.105","-4.00","-0.013","23.61","52.2%","17.7","0.5","27.4%","20.7%"
"[object Object]","2025","Aaron Rodgers","Steelers","253","32.14","0.119","-3.09","-0.011","25.23","50.0%","15.5","0.5","24.4%","15.9%"
"[object Object]","2025","Cam Ward","Titans","316","30.84","0.090","-13.16","-0.038","-61.53","40.7%","10.6","0.3","22.7%","22.7%"
"[object Object]","2025","Spencer Rattler","Saints","163","29.21","0.163","7.67","0.043","-21.02","45.8%","20.0","0.6","23.5%","21.8%"
"[object Object]","2025","Jayden Daniels","Commanders","104","25.18","0.217","10.74","0.093","18.49","51.7%","18.7","0.6","27.6%","19.8%"
"[object Object]","2025","Davis Mills","Texans","93","25.02","0.258","14.04","0.145","11.13","47.4%","20.7","0.6","25.8%","16.5%"
"[object Object]","2025","Marcus Mariota","Commanders","107","22.98","0.195","7.64","0.065","29.00","52.5%","15.8","0.5","31.4%","19.5%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","233","18.53","0.072","-16.64","-0.065","-18.95","45.1%","1.1","0.0","28.8%","23.0%"
"[object Object]","2025","Tyrod Taylor","Jets","83","17.02","0.181","5.14","0.055","-3.22","48.9%","11.6","0.4","24.5%","23.4%"
"[object Object]","2025","Lamar Jackson","Ravens","157","16.89","0.094","-7.28","-0.040","14.96","50.0%","5.1","0.2","28.9%","21.7%"
"[object Object]","2025","Malik Willis","Packers","24","16.03","0.616","12.13","0.467","24.83","69.2%","13.9","0.4","42.3%","3.8%"
"[object Object]","2025","Kyler Murray","Cardinals","98","15.06","0.136","1.24","0.011","-12.53","41.4%","8.9","0.3","21.6%","19.8%"
"[object Object]","2025","Russell Wilson","Giants","72","14.44","0.183","5.06","0.064","14.89","46.8%","10.5","0.3","26.6%","20.3%"
"[object Object]","2025","Joe Burrow","Bengals","158","14.05","0.082","-5.84","-0.034","1.19","50.6%","6.0","0.2","29.1%","19.2%"
"[object Object]","2025","Justin Fields","Jets","131","10.71","0.074","-7.30","-0.050","-12.53","44.8%","2.7","0.1","21.4%","19.3%"
"[object Object]","2025","Philip Rivers","Colts","53","10.47","0.184","2.93","0.051","1.06","49.1%","6.9","0.2","26.3%","21.1%"
"[object Object]","2025","Tanner McKee","Eagles","26","9.61","0.331","6.11","0.211","5.69","51.7%","8.1","0.3","31.0%","17.2%"
"[object Object]","2025","J.J. McCarthy","Vikings","139","9.16","0.060","-11.77","-0.077","-28.31","44.1%","-1.3","-0.0","22.4%","24.3%"
"[object Object]","2025","Carson Wentz","Vikings","97","9.00","0.087","-3.88","-0.037","14.97","54.8%","3.3","0.1","25.0%","15.4%"
"[object Object]","2025","Josh Johnson","Commanders","36","7.32","0.198","1.61","0.043","5.49","56.8%","4.2","0.1","29.7%","13.5%"
"[object Object]","2025","Tyler Huntley","Ravens","43","5.07","0.104","-0.49","-0.010","5.80","42.9%","2.9","0.1","22.4%","18.4%"
"[object Object]","2025","Taysom Hill","Saints","3","5.01","1.669","4.68","1.559","6.16","66.7%","4.9","0.2","66.7%","0.0%"
"[object Object]","2025","Cooper Rush","Ravens","34","4.01","0.114","-0.82","-0.023","-24.20","45.7%","1.6","0.0","25.7%","31.4%"
"[object Object]","2025","Jameis Winston","Giants","34","2.49","0.073","-1.04","-0.031","12.80","55.9%","1.3","0.0","35.3%","11.8%"
"[object Object]","2025","Anthony Richardson Sr.","Colts","2","1.85","0.924","1.65","0.824","-2.67","0.0%","1.8","0.1","0.0%","100.0%"
"[object Object]","2025","Gunner Olszewski","Giants","2","1.75","0.873","1.70","0.852","1.53","50.0%","1.9","0.1","50.0%","50.0%"
"[object Object]","2025","Mitch Trubisky","Bills","21","1.72","0.082","-0.50","-0.024","12.48","61.9%","0.9","0.0","52.4%","19.0%"
"[object Object]","2025","Kyle Allen","Lions","1","1.50","1.499","1.39","1.389","-0.14","0.0%","1.5","0.0","0.0%","0.0%"
"[object Object]","2025","Zach Wilson","Dolphins","8","1.38","0.172","0.09","0.011","-1.24","37.5%","0.6","0.0","0.0%","0.0%"
