"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","George Pickens","Cowboys","WR","44","20.28","0.105","15.97","0.083","47.95","1.09","75.0%","18.5","0.6","56.8%","9.1%"
"[object Object]","2025","Jaxon Smith-Njigba","Seahawks","WR","38","16.57","0.144","13.62","0.118","29.07","0.77","57.9%","15.1","0.5","47.4%","15.8%"
"[object Object]","2025","Puka Nacua","Rams","WR","43","15.67","0.131","12.84","0.107","32.85","0.76","72.1%","14.4","0.4","48.8%","11.6%"
"[object Object]","2025","Ladd McConkey","Chargers","WR","47","14.85","0.074","10.22","0.051","9.64","0.20","46.8%","12.8","0.4","27.7%","10.6%"
"[object Object]","2025","Tucker Kraft","Packers","TE","19","14.55","0.247","13.04","0.221","17.59","0.93","57.9%","13.9","0.4","52.6%","5.3%"
"[object Object]","2025","CeeDee Lamb","Cowboys","WR","47","14.52","0.108","11.58","0.086","25.55","0.54","59.6%","13.3","0.4","40.4%","6.4%"
"[object Object]","2025","Hunter Henry","Patriots","TE","29","14.44","0.101","11.00","0.077","13.44","0.46","62.1%","13.0","0.4","44.8%","17.2%"
"[object Object]","2025","Kyle Pitts","Falcons","TE","40","14.42","0.093","10.64","0.069","25.57","0.64","67.5%","12.8","0.4","45.0%","7.5%"
"[object Object]","2025","Christian McCaffrey","49ers","RB","19","14.26","0.136","11.72","0.112","24.20","1.27","73.7%","13.0","0.4","57.9%","0.0%"
"[object Object]","2025","Jalen Nailor","Vikings","WR","25","14.10","0.126","11.11","0.099","8.84","0.35","52.0%","12.6","0.4","44.0%","20.0%"
"[object Object]","2025","Stefon Diggs","Patriots","WR","34","13.97","0.103","10.72","0.079","22.05","0.65","73.5%","12.4","0.4","41.2%","11.8%"
"[object Object]","2025","Bijan Robinson","Falcons","RB","16","13.86","0.110","10.82","0.086","10.65","0.67","56.3%","12.3","0.4","37.5%","25.0%"
"[object Object]","2025","Zay Flowers","Ravens","WR","39","13.84","0.100","10.11","0.073","24.55","0.63","59.0%","11.9","0.4","46.2%","17.9%"
"[object Object]","2025","Jameson Williams","Lions","WR","32","13.39","0.082","9.48","0.058","20.39","0.64","59.4%","11.6","0.4","50.0%","18.8%"
"[object Object]","2025","Ryan Flournoy","Cowboys","WR","22","12.93","0.145","10.88","0.122","16.59","0.75","63.6%","12.0","0.4","36.4%","18.2%"
"[object Object]","2025","A.J. Brown","Eagles","WR","46","12.69","0.093","9.18","0.067","6.18","0.13","52.2%","10.9","0.3","23.9%","17.4%"
"[object Object]","2025","Parker Washington","Jaguars","WR","28","12.32","0.117","9.82","0.094","6.91","0.25","53.6%","11.2","0.3","35.7%","25.0%"
"[object Object]","2025","Nico Collins","Texans","WR","34","12.27","0.089","8.98","0.065","13.80","0.41","52.9%","10.8","0.3","32.4%","11.8%"
"[object Object]","2025","Jakobi Meyers","2 teams","WR","33","12.11","0.081","8.41","0.056","14.57","0.44","63.6%","10.3","0.3","48.5%","9.1%"
"[object Object]","2025","Travis Kelce","Chiefs","TE","39","11.56","0.061","7.01","0.037","13.75","0.35","66.7%","9.6","0.3","30.8%","15.4%"
"[object Object]","2025","Chris Olave","Saints","WR","39","11.55","0.096","8.72","0.073","23.65","0.61","53.8%","10.3","0.3","33.3%","7.7%"
"[object Object]","2025","Xavier Worthy","Chiefs","WR","29","11.02","0.088","8.12","0.065","8.90","0.31","48.3%","9.7","0.3","34.5%","13.8%"
"[object Object]","2025","Elic Ayomanor","Titans","WR","27","10.85","0.087","7.62","0.061","6.76","0.25","55.6%","9.2","0.3","37.0%","22.2%"
"[object Object]","2025","James Cook III","Bills","RB","8","10.54","0.165","8.95","0.140","10.80","1.35","75.0%","9.7","0.3","62.5%","0.0%"
"[object Object]","2025","Amon-Ra St. Brown","Lions","WR","51","10.14","0.065","6.44","0.042","8.61","0.17","47.1%","8.4","0.3","37.3%","17.6%"
"[object Object]","2025","Courtland Sutton","Broncos","WR","41","9.74","0.079","6.90","0.056","20.06","0.49","58.5%","8.5","0.3","41.5%","14.6%"
"[object Object]","2025","Trey McBride","Cardinals","TE","29","9.24","0.061","5.57","0.037","14.67","0.51","51.7%","7.7","0.2","34.5%","13.8%"
"[object Object]","2025","Alec Pierce","Colts","WR","26","9.05","0.074","6.03","0.049","10.80","0.42","46.2%","7.6","0.2","38.5%","19.2%"
"[object Object]","2025","Demario Douglas","Patriots","WR","13","9.00","0.150","7.56","0.126","18.93","1.46","76.9%","8.3","0.3","61.5%","7.7%"
"[object Object]","2025","Tee Higgins","Bengals","WR","45","8.92","0.058","5.02","0.032","22.75","0.51","53.3%","7.0","0.2","40.0%","15.6%"
"[object Object]","2025","Justin Jefferson","Vikings","WR","32","8.70","0.061","4.92","0.034","-8.09","-0.25","50.0%","6.8","0.2","34.4%","18.8%"
"[object Object]","2025","Theo Johnson","Giants","TE","17","8.08","0.063","5.11","0.040","8.20","0.48","47.1%","6.9","0.2","47.1%","17.6%"
"[object Object]","2025","Ja'Marr Chase","Bengals","WR","56","7.90","0.042","3.32","0.018","5.74","0.10","46.4%","5.7","0.2","33.9%","21.4%"
"[object Object]","2025","John Metchie III","2 teams","WR","12","7.90","0.158","6.61","0.132","3.69","0.31","58.3%","7.2","0.2","58.3%","41.7%"
"[object Object]","2025","Saquon Barkley","Eagles","RB","11","7.86","0.100","5.83","0.074","8.09","0.74","54.5%","6.7","0.2","45.5%","9.1%"
"[object Object]","2025","Dalton Schultz","Texans","TE","26","7.78","0.049","4.01","0.025","12.93","0.50","65.4%","6.2","0.2","34.6%","3.8%"
"[object Object]","2025","Drake London","Falcons","WR","34","7.72","0.066","4.89","0.042","-3.58","-0.11","32.4%","6.4","0.2","26.5%","32.4%"
"[object Object]","2025","George Kittle","49ers","TE","21","7.61","0.098","5.62","0.072","15.82","0.75","66.7%","6.7","0.2","42.9%","9.5%"
"[object Object]","2025","Jerry Jeudy","Browns","WR","43","7.60","0.043","3.42","0.020","-9.26","-0.22","39.5%","5.7","0.2","23.3%","25.6%"
"[object Object]","2025","Woody Marks","Texans","RB","9","7.52","0.118","6.02","0.094","7.15","0.79","55.6%","6.8","0.2","44.4%","11.1%"
"[object Object]","2025","Josh Downs","Colts","WR","28","7.35","0.074","4.88","0.049","-14.92","-0.53","42.9%","6.1","0.2","25.0%","32.1%"
