"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Puka Nacua","Rams","WR","164","63.38","0.142","53.05","0.119","116.67","0.71","68.9%","58.7","1.8","50.6%","11.6%"
"[object Object]","2025","Trey McBride","Cardinals","TE","168","51.82","0.077","36.09","0.054","82.19","0.49","61.9%","45.2","1.4","32.7%","8.9%"
"[object Object]","2025","Jaxon Smith-Njigba","Seahawks","WR","163","42.71","0.089","31.05","0.065","82.99","0.51","60.1%","37.0","1.1","42.3%","12.9%"
"[object Object]","2025","Bijan Robinson","Falcons","RB","102","38.54","0.093","28.72","0.069","29.73","0.29","59.8%","33.5","1.0","27.5%","15.7%"
"[object Object]","2025","Ja'Marr Chase","Bengals","WR","186","37.65","0.061","23.08","0.037","40.19","0.22","52.2%","31.7","1.0","28.5%","13.4%"
"[object Object]","2025","Stefon Diggs","Patriots","WR","102","36.30","0.090","26.75","0.067","69.79","0.68","74.5%","31.8","1.0","44.1%","9.8%"
"[object Object]","2025","Amon-Ra St. Brown","Lions","WR","175","36.03","0.069","23.65","0.045","59.01","0.34","56.0%","30.3","0.9","36.6%","14.3%"
"[object Object]","2025","George Pickens","Cowboys","WR","137","35.39","0.060","22.35","0.038","77.04","0.56","65.0%","29.7","0.9","42.3%","11.7%"
"[object Object]","2025","Justin Jefferson","Vikings","WR","141","31.92","0.059","18.39","0.034","-1.11","-0.01","49.6%","25.0","0.8","31.9%","20.6%"
"[object Object]","2025","Hunter Henry","Patriots","TE","87","31.45","0.071","20.75","0.047","39.42","0.45","58.6%","26.8","0.8","42.5%","11.5%"
"[object Object]","2025","Nico Collins","Texans","WR","121","30.40","0.066","19.55","0.042","40.57","0.34","51.2%","25.4","0.8","33.1%","17.4%"
"[object Object]","2025","Alec Pierce","Colts","WR","85","30.28","0.067","19.39","0.043","56.49","0.66","57.6%","25.0","0.8","44.7%","11.8%"
"[object Object]","2025","Drake London","Falcons","WR","111","29.58","0.082","20.95","0.058","29.20","0.26","54.1%","25.5","0.8","34.2%","18.0%"
"[object Object]","2025","Christian McCaffrey","49ers","RB","129","28.59","0.061","17.57","0.038","46.51","0.36","57.4%","23.0","0.7","31.8%","8.5%"
"[object Object]","2025","Parker Washington","Jaguars","WR","95","27.60","0.071","19.02","0.049","26.84","0.28","53.7%","25.1","0.8","29.5%","18.9%"
"[object Object]","2025","Tucker Kraft","Packers","TE","45","26.77","0.141","22.15","0.117","27.56","0.61","55.6%","24.7","0.8","44.4%","15.6%"
"[object Object]","2025","Zay Flowers","Ravens","WR","118","26.68","0.057","14.85","0.032","52.46","0.44","55.9%","20.2","0.6","41.5%","14.4%"
"[object Object]","2025","Ladd McConkey","Chargers","WR","107","26.64","0.049","14.32","0.027","20.10","0.19","48.6%","21.0","0.7","29.9%","11.2%"
"[object Object]","2025","Jameson Williams","Lions","WR","101","25.48","0.047","12.42","0.023","57.12","0.57","57.4%","19.2","0.6","40.6%","12.9%"
"[object Object]","2025","Michael Wilson","Cardinals","WR","127","24.37","0.040","10.58","0.017","20.87","0.16","52.8%","18.0","0.6","30.7%","21.3%"
"[object Object]","2025","Tetairoa McMillan","Panthers","WR","122","23.76","0.046","11.09","0.021","27.71","0.23","52.5%","17.5","0.5","36.9%","18.9%"
"[object Object]","2025","DK Metcalf","Steelers","WR","100","23.73","0.056","13.26","0.031","25.60","0.26","48.0%","18.2","0.6","27.0%","14.0%"
"[object Object]","2025","Khalil Shakir","Bills","WR","95","22.35","0.057","13.32","0.034","12.22","0.13","50.5%","18.1","0.6","26.3%","18.9%"
"[object Object]","2025","Harold Fannin Jr.","Browns","TE","107","22.24","0.053","12.63","0.030","11.81","0.11","50.5%","18.1","0.6","27.1%","20.6%"
"[object Object]","2025","Terry McLaurin","Commanders","WR","60","22.10","0.087","16.03","0.063","25.52","0.43","60.0%","19.0","0.6","36.7%","15.0%"
"[object Object]","2025","Ty Johnson","Bills","RB","33","21.87","0.112","17.49","0.090","8.92","0.27","51.5%","19.6","0.6","36.4%","18.2%"
"[object Object]","2025","CeeDee Lamb","Cowboys","WR","117","21.53","0.049","11.86","0.027","36.78","0.31","54.7%","17.4","0.5","30.8%","13.7%"
"[object Object]","2025","Colston Loveland","Bears","TE","81","21.27","0.060","13.05","0.037","42.74","0.53","60.5%","17.9","0.6","37.0%","12.3%"
"[object Object]","2025","AJ Barner","Seahawks","TE","68","20.95","0.062","12.48","0.037","23.71","0.35","64.7%","17.1","0.5","29.4%","8.8%"
"[object Object]","2025","A.J. Brown","Eagles","WR","121","20.84","0.046","9.52","0.021","35.63","0.29","52.9%","15.2","0.5","28.9%","14.9%"
"[object Object]","2025","Cooper Kupp","Seahawks","WR","71","20.76","0.053","11.30","0.029","8.46","0.12","54.9%","15.8","0.5","35.2%","22.5%"
"[object Object]","2025","DeVonta Smith","Eagles","WR","114","20.69","0.042","8.36","0.017","57.05","0.50","55.3%","14.0","0.4","33.3%","12.3%"
"[object Object]","2025","Jahmyr Gibbs","Lions","RB","94","20.59","0.062","12.68","0.038","16.14","0.17","51.1%","16.5","0.5","25.5%","17.0%"
"[object Object]","2025","Josh Downs","Colts","WR","88","20.58","0.058","11.84","0.033","5.94","0.07","51.1%","16.1","0.5","27.3%","17.0%"
"[object Object]","2025","George Kittle","49ers","TE","69","20.47","0.072","13.39","0.047","45.55","0.66","68.1%","17.2","0.5","39.1%","7.2%"
"[object Object]","2025","Tyler Warren","Colts","TE","113","20.09","0.042","8.08","0.017","17.63","0.16","52.2%","14.6","0.5","24.8%","13.3%"
"[object Object]","2025","Sam LaPorta","Lions","TE","49","19.64","0.087","14.09","0.062","29.87","0.61","71.4%","17.2","0.5","40.8%","12.2%"
"[object Object]","2025","Wan'Dale Robinson","Giants","WR","140","18.76","0.035","6.63","0.012","12.52","0.09","50.0%","12.6","0.4","27.1%","22.9%"
"[object Object]","2025","Dalton Schultz","Texans","TE","105","18.71","0.039","7.53","0.016","53.66","0.51","67.6%","14.1","0.4","33.3%","5.7%"
"[object Object]","2025","Rome Odunze","Bears","WR","90","18.58","0.051","10.38","0.029","15.33","0.17","42.2%","14.9","0.5","32.2%","17.8%"
"[object Object]","2025","Brock Bowers","Raiders","TE","87","18.50","0.049","8.76","0.023","20.42","0.23","58.6%","13.8","0.4","33.3%","17.2%"
"[object Object]","2025","JuJu Smith-Schuster","Chiefs","WR","46","18.50","0.058","10.53","0.033","5.73","0.12","63.0%","14.5","0.4","30.4%","13.0%"
"[object Object]","2025","Jakobi Meyers","2 teams","WR","109","18.29","0.036","6.34","0.013","23.04","0.21","61.5%","12.6","0.4","38.5%","13.8%"
"[object Object]","2025","Tyjae Spears","Titans","RB","51","17.90","0.091","13.07","0.066","1.20","0.02","39.2%","14.8","0.5","23.5%","19.6%"
"[object Object]","2025","Davante Adams","Rams","WR","113","17.89","0.046","8.59","0.022","21.81","0.19","49.6%","13.4","0.4","26.5%","16.8%"
"[object Object]","2025","Emeka Egbuka","Buccaneers","WR","130","17.69","0.035","6.27","0.013","8.68","0.07","40.0%","12.6","0.4","24.6%","19.2%"
"[object Object]","2025","Travis Kelce","Chiefs","TE","108","17.59","0.034","5.30","0.010","42.06","0.39","59.3%","12.2","0.4","30.6%","12.0%"
"[object Object]","2025","Elic Ayomanor","Titans","WR","89","16.95","0.037","5.58","0.012","-10.11","-0.11","43.8%","11.2","0.3","28.1%","27.0%"
"[object Object]","2025","Tee Higgins","Bengals","WR","99","16.91","0.034","4.77","0.010","26.30","0.27","52.5%","11.0","0.3","37.4%","17.2%"
"[object Object]","2025","Keenan Allen","Chargers","WR","122","16.72","0.037","6.43","0.014","34.41","0.28","61.5%","13.9","0.4","32.8%","16.4%"
"[object Object]","2025","Demario Douglas","Patriots","WR","46","16.47","0.077","11.51","0.054","23.55","0.51","56.5%","13.8","0.4","39.1%","19.6%"
"[object Object]","2025","Brenton Strange","Jaguars","TE","60","16.43","0.056","9.62","0.033","37.41","0.62","68.3%","13.5","0.4","36.7%","11.7%"
"[object Object]","2025","Ryan Flournoy","Cowboys","WR","57","16.30","0.063","10.35","0.040","31.24","0.55","61.4%","13.6","0.4","35.1%","12.3%"
"[object Object]","2025","Pat Freiermuth","Steelers","TE","53","16.29","0.055","9.15","0.031","28.84","0.54","58.5%","13.0","0.4","34.0%","11.3%"
"[object Object]","2025","Darnell Washington","Steelers","TE","43","16.29","0.091","11.76","0.065","14.42","0.34","60.5%","14.1","0.4","41.9%","9.3%"
"[object Object]","2025","Luther Burden III","Bears","WR","60","15.64","0.068","10.45","0.045","33.80","0.56","63.3%","13.3","0.4","36.7%","11.7%"
"[object Object]","2025","Xavier Worthy","Chiefs","WR","73","15.47","0.041","6.73","0.018","18.17","0.25","52.1%","10.5","0.3","32.9%","11.0%"
"[object Object]","2025","Kyle Pitts","Falcons","TE","118","15.45","0.031","3.09","0.006","31.00","0.26","55.1%","10.0","0.3","33.9%","15.3%"
"[object Object]","2025","Breece Hall","Jets","RB","48","15.15","0.068","9.72","0.043","11.36","0.24","52.1%","12.3","0.4","22.9%","8.3%"
"[object Object]","2025","Jordan Addison","Vikings","WR","77","15.04","0.037","5.07","0.012","20.66","0.27","53.2%","9.9","0.3","23.4%","11.7%"
"[object Object]","2025","Courtland Sutton","Broncos","WR","123","14.73","0.027","2.44","0.004","45.84","0.37","52.8%","9.1","0.3","35.0%","15.4%"
"[object Object]","2025","Greg Dulcich","Dolphins","TE","33","14.60","0.115","11.34","0.089","21.15","0.64","63.6%","13.0","0.4","36.4%","12.1%"
"[object Object]","2025","Ricky Pearsall","49ers","WR","53","14.38","0.054","8.51","0.032","27.26","0.51","62.3%","11.7","0.4","49.1%","13.2%"
"[object Object]","2025","Christian Watson","Packers","WR","55","14.00","0.062","8.40","0.037","33.20","0.60","61.8%","11.2","0.3","41.8%","10.9%"
"[object Object]","2025","Bucky Irving","Buccaneers","RB","35","13.65","0.088","10.16","0.065","8.79","0.25","45.7%","11.9","0.4","20.0%","14.3%"
"[object Object]","2025","Chigoziem Okonkwo","Titans","TE","79","13.57","0.036","4.10","0.011","13.94","0.18","46.8%","9.2","0.3","31.6%","12.7%"
"[object Object]","2025","Kayshon Boutte","Patriots","WR","46","13.47","0.038","5.03","0.014","33.62","0.73","71.7%","9.4","0.3","45.7%","13.0%"
"[object Object]","2025","Chris Olave","Saints","WR","156","13.36","0.024","0.32","0.001","35.95","0.23","50.0%","7.3","0.2","26.3%","14.7%"
"[object Object]","2025","Dylan Sampson","Browns","RB","40","12.49","0.091","9.32","0.068","10.09","0.25","52.5%","10.8","0.3","22.5%","10.0%"
"[object Object]","2025","Jake Tonges","49ers","TE","46","12.36","0.056","7.53","0.034","19.66","0.43","60.9%","10.5","0.3","23.9%","6.5%"
"[object Object]","2025","Dalton Kincaid","Bills","TE","49","12.12","0.067","7.93","0.044","35.48","0.72","63.3%","10.4","0.3","42.9%","6.1%"
"[object Object]","2025","Dontayvion Wicks","Packers","WR","47","11.96","0.056","6.97","0.033","14.92","0.32","61.7%","9.6","0.3","31.9%","12.8%"
"[object Object]","2025","Tyler Higbee","Rams","TE","35","11.83","0.068","7.73","0.044","13.92","0.40","57.1%","10.1","0.3","40.0%","11.4%"
"[object Object]","2025","Jauan Jennings","49ers","WR","90","11.72","0.027","1.49","0.003","9.87","0.11","53.3%","6.8","0.2","35.6%","22.2%"
"[object Object]","2025","Chris Godwin","Buccaneers","WR","51","11.57","0.049","6.01","0.025","14.60","0.29","54.9%","9.0","0.3","35.3%","17.6%"
"[object Object]","2025","KaVontae Turpin","Cowboys","WR","38","11.56","0.050","6.54","0.028","19.65","0.52","55.3%","9.4","0.3","36.8%","21.1%"
"[object Object]","2025","Tre Tucker","Raiders","WR","91","10.89","0.019","-3.29","-0.006","25.50","0.28","48.4%","3.2","0.1","30.8%","5.5%"
"[object Object]","2025","Malik Nabers","Giants","WR","35","10.81","0.083","7.85","0.060","8.62","0.25","48.6%","9.4","0.3","20.0%","8.6%"
"[object Object]","2025","David Njoku","Browns","TE","48","10.67","0.040","4.63","0.017","3.48","0.07","52.1%","8.2","0.3","29.2%","16.7%"
"[object Object]","2025","Jaylen Warren","Steelers","RB","45","10.53","0.069","6.65","0.043","9.17","0.20","55.6%","8.4","0.3","13.3%","8.9%"
"[object Object]","2025","Deebo Samuel","Commanders","WR","99","10.37","0.025","-0.19","-0.000","21.27","0.21","52.5%","5.5","0.2","28.3%","19.2%"
"[object Object]","2025","DeAndre Hopkins","Ravens","WR","37","10.29","0.055","5.51","0.029","15.77","0.43","54.1%","7.8","0.2","40.5%","18.9%"
"[object Object]","2025","T.J. Hockenson","Vikings","TE","66","10.05","0.026","0.02","0.000","15.06","0.23","57.6%","5.2","0.2","27.3%","15.2%"
"[object Object]","2025","Jaylen Waddle","Dolphins","WR","100","9.93","0.026","0.18","0.000","29.19","0.29","54.0%","4.8","0.1","37.0%","15.0%"
"[object Object]","2025","Josh Jacobs","Packers","RB","44","9.88","0.053","5.28","0.028","13.67","0.31","59.1%","7.4","0.2","18.2%","9.1%"
"[object Object]","2025","D'Andre Swift","Bears","RB","48","9.81","0.038","3.90","0.015","-1.15","-0.02","39.6%","7.1","0.2","14.6%","14.6%"
"[object Object]","2025","Dallas Goedert","Eagles","TE","81","9.50","0.023","-0.95","-0.002","27.92","0.34","61.7%","4.7","0.1","25.9%","11.1%"
"[object Object]","2025","Chase Brown","Bengals","RB","88","9.38","0.026","0.78","0.002","-1.44","-0.02","50.0%","5.0","0.2","19.3%","13.6%"
"[object Object]","2025","Tyrone Tracy Jr.","Giants","RB","47","9.23","0.038","3.56","0.015","4.30","0.09","46.8%","6.3","0.2","23.4%","10.6%"
"[object Object]","2025","RJ Harvey","Broncos","RB","58","8.87","0.041","3.95","0.018","25.67","0.44","60.3%","6.4","0.2","29.3%","6.9%"
"[object Object]","2025","Tyquan Thornton","Chiefs","WR","37","8.45","0.037","3.06","0.013","22.53","0.61","48.6%","5.9","0.2","37.8%","21.6%"
"[object Object]","2025","James Cook III","Bills","RB","40","8.14","0.040","3.35","0.016","10.43","0.26","50.0%","5.7","0.2","30.0%","2.5%"
"[object Object]","2025","Rhamondre Stevenson","Patriots","RB","37","8.05","0.034","2.28","0.010","18.76","0.51","67.6%","5.0","0.2","35.1%","13.5%"
"[object Object]","2025","Pat Bryant","Broncos","WR","51","8.02","0.029","1.83","0.007","5.01","0.10","49.0%","5.2","0.2","29.4%","17.6%"
"[object Object]","2025","Brashard Smith","Chiefs","RB","34","7.82","0.079","5.56","0.056","1.23","0.04","47.1%","7.1","0.2","17.6%","14.7%"
"[object Object]","2025","Colby Parkinson","Rams","TE","56","7.56","0.031","2.00","0.008","13.25","0.24","60.7%","5.3","0.2","30.4%","7.1%"
"[object Object]","2025","Woody Marks","Texans","RB","36","7.52","0.036","2.77","0.013","7.73","0.21","44.4%","5.4","0.2","30.6%","16.7%"
"[object Object]","2025","Marvin Harrison Jr.","Cardinals","WR","73","7.41","0.020","-0.90","-0.002","28.04","0.38","53.4%","3.5","0.1","39.7%","9.6%"
"[object Object]","2025","Darren Waller","Dolphins","TE","34","7.38","0.050","3.50","0.024","21.64","0.64","67.6%","5.5","0.2","41.2%","8.8%"
"[object Object]","2025","Kenneth Walker III","Seahawks","RB","36","7.34","0.045","3.27","0.020","8.61","0.24","44.4%","5.1","0.2","25.0%","5.6%"
"[object Object]","2025","Rashid Shaheed","2 teams","WR","92","7.22","0.016","-3.86","-0.008","4.01","0.04","44.6%","1.3","0.0","29.3%","18.5%"
"[object Object]","2025","Quentin Johnston","Chargers","WR","84","7.01","0.015","-3.76","-0.008","29.71","0.35","52.4%","2.1","0.1","29.8%","13.1%"
"[object Object]","2025","Tyler Badie","Broncos","RB","31","6.94","0.054","4.04","0.031","2.78","0.09","41.9%","5.5","0.2","19.4%","12.9%"
"[object Object]","2025","Jalen Nailor","Vikings","WR","53","6.87","0.018","-2.74","-0.007","9.08","0.17","47.2%","1.8","0.1","34.0%","22.6%"
"[object Object]","2025","Mike Gesicki","Bengals","TE","42","6.67","0.027","0.84","0.003","6.29","0.15","59.5%","4.1","0.1","35.7%","21.4%"
"[object Object]","2025","Rashee Rice","Chiefs","WR","79","6.62","0.026","0.96","0.004","2.61","0.03","46.8%","2.5","0.1","26.6%","21.5%"
"[object Object]","2025","Garrett Wilson","Jets","WR","59","6.62","0.030","1.13","0.005","3.08","0.05","45.8%","3.9","0.1","30.5%","16.9%"
"[object Object]","2025","Rico Dowdle","Panthers","RB","48","6.40","0.032","1.36","0.007","2.51","0.05","47.9%","3.7","0.1","18.8%","10.4%"
"[object Object]","2025","Jalen Coker","Panthers","WR","42","6.36","0.024","-0.84","-0.003","12.21","0.29","66.7%","2.5","0.1","31.0%","19.0%"
"[object Object]","2025","Matthew Golden","Packers","WR","43","6.31","0.025","0.26","0.001","19.15","0.45","55.8%","3.2","0.1","34.9%","16.3%"
"[object Object]","2025","Devaughn Vele","Saints","WR","39","6.27","0.027","1.02","0.004","12.73","0.33","59.0%","3.9","0.1","38.5%","10.3%"
"[object Object]","2025","Travis Etienne","Jaguars","RB","52","6.22","0.025","0.66","0.003","-2.49","-0.05","50.0%","4.5","0.1","15.4%","13.5%"
"[object Object]","2025","Elijah Higgins","Cardinals","TE","38","6.17","0.022","-0.54","-0.002","5.07","0.13","55.3%","3.2","0.1","34.2%","15.8%"
"[object Object]","2025","Dawson Knox","Bills","TE","49","6.14","0.022","-0.49","-0.002","20.30","0.41","59.2%","3.3","0.1","38.8%","12.2%"
"[object Object]","2025","Kendrick Bourne","49ers","WR","53","6.10","0.018","-1.93","-0.006","27.04","0.51","71.7%","2.3","0.1","45.3%","13.2%"
"[object Object]","2025","Kenneth Gainwell","Steelers","RB","85","6.04","0.020","-1.31","-0.004","6.27","0.07","55.3%","1.6","0.1","20.0%","17.6%"
"[object Object]","2025","Mack Hollins","Patriots","WR","65","6.00","0.018","-1.89","-0.006","27.22","0.42","61.5%","2.3","0.1","27.7%","10.8%"
