"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Baker Mayfield","Buccaneers","55","42.68","0.776","37.42","0.680","36.79","0.67","60.0%","39.1","1.2","41.8%","10.9%"
"[object Object]","2025","Bijan Robinson","Falcons","287","41.88","0.146","32.40","0.113","-3.86","-0.01","45.3%","41.7","1.3","12.5%","11.1%"
"[object Object]","2025","Josh Allen","Bills","112","31.61","0.282","24.26","0.217","29.97","0.27","50.9%","27.6","0.9","25.0%","9.8%"
"[object Object]","2025","De'Von Achane","Dolphins","238","31.49","0.132","23.02","0.097","23.94","0.10","47.5%","30.7","0.9","16.0%","10.9%"
"[object Object]","2025","Javonte Williams","Cowboys","252","26.90","0.107","19.05","0.076","30.98","0.12","54.0%","27.2","0.8","10.3%","6.7%"
"[object Object]","2025","Jonathan Taylor","Colts","323","25.78","0.080","14.70","0.046","0.28","0.00","45.8%","25.1","0.8","11.1%","10.2%"
"[object Object]","2025","Chase Brown","Bengals","232","24.09","0.104","16.34","0.070","-3.86","-0.02","46.1%","23.8","0.7","6.9%","6.5%"
"[object Object]","2025","Trevor Lawrence","Jaguars","82","21.53","0.263","15.56","0.190","29.11","0.36","58.5%","18.2","0.6","28.0%","11.0%"
"[object Object]","2025","Tank Bigsby","2 teams","63","21.24","0.337","19.18","0.305","5.51","0.09","47.6%","21.2","0.7","19.0%","12.7%"
"[object Object]","2025","Kenneth Walker III","Seahawks","221","21.22","0.096","13.65","0.062","-9.14","-0.04","38.9%","20.8","0.6","10.9%","10.0%"
"[object Object]","2025","Bryce Young","Panthers","54","20.84","0.386","16.13","0.299","5.66","0.10","48.1%","17.5","0.5","22.2%","14.8%"
"[object Object]","2025","Omarion Hampton","Chargers","124","20.40","0.164","16.42","0.132","-0.82","-0.01","46.8%","20.4","0.6","11.3%","10.5%"
"[object Object]","2025","Jayden Daniels","Commanders","58","20.12","0.347","14.83","0.256","1.05","0.02","50.0%","16.7","0.5","19.0%","13.8%"
"[object Object]","2025","Jahmyr Gibbs","Lions","243","20.10","0.083","12.08","0.050","-0.96","-0.00","44.9%","19.9","0.6","13.2%","14.0%"
"[object Object]","2025","Saquon Barkley","Eagles","280","19.21","0.069","9.63","0.034","-6.52","-0.02","41.8%","18.7","0.6","12.1%","10.7%"
"[object Object]","2025","J.K. Dobbins","Broncos","153","18.69","0.122","13.67","0.089","9.08","0.06","48.4%","18.6","0.6","13.7%","8.5%"
"[object Object]","2025","Jaylen Warren","Steelers","211","18.23","0.086","10.75","0.051","10.67","0.05","49.8%","17.6","0.5","10.0%","6.2%"
"[object Object]","2025","Zach Charbonnet","Seahawks","184","17.52","0.095","11.29","0.061","-8.78","-0.05","45.7%","17.2","0.5","12.0%","14.1%"
